,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80790,+36,3158.0,22.0,61611.0,16021,4492.0,56.1
1,Italy,12462,"+2,313",827.0,196.0,1045.0,10590,1028.0,206.1
2,Iran,9000,+958,354.0,63.0,2959.0,5687,,107.2
3,S. Korea,7755,+242,60.0,,288.0,7407,54.0,151.3
4,Spain,2188,+493,49.0,13.0,183.0,1956,101.0,46.8
5,Germany,1853,+288,3.0,1.0,25.0,1825,9.0,22.1
6,France,1784,,33.0,,12.0,1739,86.0,27.3
7,USA,1016,+22,31.0,1.0,15.0,970,10.0,3.1
8,Diamond Princess,696,,7.0,,325.0,364,32.0,
9,Switzerland,652,+155,4.0,1.0,3.0,645,,75.3
10,Japan,639,+52,15.0,3.0,118.0,506,26.0,5.1
11,Netherlands,503,+121,5.0,1.0,,498,1.0,29.4
12,Sweden,490,+135,1.0,1.0,1.0,488,2.0,48.5
13,Norway,489,+89,,,1.0,488,,90.2
14,UK,456,+73,6.0,,18.0,432,,6.7
15,Denmark,442,+180,,,1.0,441,,76.3
16,Belgium,314,+47,3.0,3.0,1.0,310,2.0,27.1
17,Qatar,262,+238,,,,262,,90.9
18,Austria,246,+64,,,4.0,242,1.0,27.3
19,Bahrain,189,+79,,,35.0,154,1.0,111.1
20,Singapore,178,+12,,,96.0,82,12.0,30.4
21,Malaysia,149,+20,,,26.0,123,2.0,4.6
22,Australia,127,+11,3.0,,24.0,100,1.0,5.0
23,Hong Kong,126,+5,3.0,,60.0,63,6.0,16.8
24,Canada,99,+4,1.0,,9.0,89,1.0,2.6
25,Greece,99,+10,,,,99,2.0,9.5
26,Iceland,85,+4,,,1.0,84,,
27,Israel,79,+4,,,4.0,75,1.0,9.1
28,Czechia,75,+12,,,,75,,7.0
29,UAE,74,,,,17.0,57,2.0,7.5
30,Kuwait,72,+3,,,2.0,70,3.0,16.9
31,Iraq,71,,7.0,,15.0,49,,1.8
32,San Marino,62,,2.0,,,60,5.0,
33,India,62,,,,4.0,58,,
