,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80701,50.0,3098.0,28.0,57325.0,20278,5264.0,56.1
1,S. Korea,7313,272.0,50.0,2.0,130.0,7133,36.0,142.6
2,Iran,6566,743.0,194.0,49.0,2134.0,4238,,78.2
3,Italy,5883,,233.0,,589.0,5061,567.0,97.3
4,France,949,,16.0,,12.0,921,45.0,14.5
5,Germany,939,139.0,,,18.0,921,9.0,11.2
6,Diamond Princess,696,,6.0,,245.0,445,32.0,
7,Spain,589,64.0,13.0,3.0,30.0,546,9.0,12.6
8,Japan,461,,6.0,,76.0,379,28.0,3.6
9,USA,447,12.0,19.0,,15.0,413,8.0,1.4
10,Switzerland,336,68.0,1.0,,3.0,332,,38.8
11,UK,209,,2.0,,18.0,189,,3.1
12,Belgium,200,31.0,,,1.0,199,1.0,17.3
13,Netherlands,188,,1.0,,,187,1.0,11.0
14,Sweden,161,,,,1.0,160,,15.9
15,Norway,158,2.0,,,1.0,157,,29.1
16,Singapore,138,,,,90.0,48,8.0,23.6
17,Hong Kong,110,2.0,2.0,,55.0,53,6.0,14.7
18,Austria,104,23.0,,,2.0,102,1.0,11.5
19,Malaysia,93,,,,23.0,70,,2.9
20,Bahrain,85,,,,6.0,79,,50.0
21,Australia,80,6.0,3.0,,22.0,55,1.0,3.1
22,Greece,66,,,,,66,1.0,6.3
23,Kuwait,62,1.0,,,1.0,61,3.0,14.5
24,Canada,60,,,,8.0,52,1.0,1.6
25,Iraq,54,,4.0,,1.0,49,,1.3
26,Thailand,50,,1.0,,31.0,18,1.0,0.7
27,Iceland,50,,,,1.0,49,,
28,Egypt,48,,,,1.0,47,,
29,Taiwan,45,,1.0,,15.0,29,,1.9
30,UAE,45,,,,7.0,38,2.0,4.5
31,India,39,5.0,,,3.0,36,,
32,San Marino,36,10.0,1.0,,,35,5.0,
33,Lebanon,28,,,,1.0,27,3.0,4.1
34,Denmark,27,,,,1.0,26,,4.7
35,Czechia,26,,,,,26,,2.4
36,Israel,25,,,,3.0,22,1.0,2.9
37,Portugal,25,4.0,,,,25,,2.5
38,Finland,23,4.0,,,1.0,22,,4.2
39,Vietnam,21,1.0,,,16.0,5,,
40,Algeria,19,,,,,19,,
41,Brazil,19,,,,,19,,
42,Ireland,19,,,,,19,,3.8
43,Palestine,19,,,,,19,,3.7
44,Oman,16,,,,2.0,14,,3.1
45,Russia,15,,,,3.0,12,,
46,Ecuador,14,,,,,14,1.0,0.8
47,Georgia,13,,,,,13,1.0,3.3
48,Romania,13,,,,3.0,10,,0.7
49,Croatia,12,,,,,12,,2.9
50,Qatar,12,,,,,12,,4.2
51,Slovenia,12,,,,,12,,5.8
52,Saudi Arabia,11,4.0,,,1.0,10,,
53,Macao,10,,,,10.0,0,,
54,Estonia,10,,,,,10,,7.5
55,Argentina,9,,1.0,,,8,,
56,Azerbaijan,9,,,,,9,,0.9
57,Mexico,7,1.0,,,1.0,6,1.0,
58,Chile,7,,,,,7,,
59,Philippines,6,,1.0,,2.0,3,1.0,
60,Belarus,6,,,,,6,,0.6
61,Indonesia,6,2.0,,,,6,,
62,Pakistan,6,,,,1.0,5,,
63,Peru,6,,,,,6,,
64,Poland,6,,,,,6,,
65,New Zealand,5,,,,,5,,1.0
66,Costa Rica,5,4.0,,,,5,1.0,1.0
67,French Guiana,5,,,,,5,,
68,Hungary,5,,,,,5,,0.5
69,Afghanistan,4,,,,,4,,
70,Senegal,4,,,,1.0,3,,
71,Bulgaria,4,2.0,,,,4,,0.6
72,Luxembourg,3,,,,,3,,
73,North Macedonia,3,,,,,3,,1.4
74,Bosnia and Herzegovina,3,,,,,3,,0.9
75,Malta,3,,,,,3,,
76,Slovakia,3,,,,,3,,0.5
77,South Africa,3,1.0,,,,3,,
78,Cambodia,2,,,,1.0,1,,
79,Dominican Republic,2,,,,,2,,
80,Latvia,2,1.0,,,1.0,1,,1.1
81,Morocco,2,,,,,2,1.0,
82,Cameroon,2,,,,,2,,
83,Faeroe Islands,2,,,,,2,,
84,Maldives,2,,,,,2,,
85,Andorra,1,,,,,1,,
86,Armenia,1,,,,,1,,
87,Jordan,1,,,,,1,,
88,Lithuania,1,,,,,1,,
89,Monaco,1,,,,,1,,
90,Nepal,1,,,,1.0,0,,
91,Nigeria,1,,,,,1,,
92,Sri Lanka,1,,,,1.0,0,,
93,Tunisia,1,,,,,1,,
94,Ukraine,1,,,,,1,,
95,Bhutan,1,,,,,1,,
96,Colombia,1,,,,,1,,
97,Gibraltar,1,,,,,1,1.0,
98,Vatican City,1,,,,,1,,
99,Liechtenstein,1,,,,,1,,
100,Moldova,1,,,,,1,,
101,Paraguay,1,,,,,1,,
102,Serbia,1,,,,,1,,
103,Togo,1,,,,,1,,
104,Total:,107501,1452.0,3653.0,82.0,60914.0,42934,6040.0,13.8
