,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","4,972,844","+92,459","205,154","+1,981","2,479,754","+56,536","2,287,936","26,207",,,,,,North America,"
",,
1,,"
South America
","3,624,751","+80,711","131,084","+1,947","2,417,096","+38,023","1,076,571","14,177",,,,,,South America,"
",,
2,,"
Asia
","3,750,534","+75,475","87,354","+1,422","2,691,553","+61,041","971,627","19,503",,,,,,Asia,"
",,
3,,"
Europe
","2,752,362","+17,193","200,954",+436,"1,651,173","+14,550","900,235","5,161",,,,,,Europe,"
",,
4,,"
Africa
","814,165","+22,125","17,146",+390,"465,357","+15,720","331,662","1,091",,,,,,Africa,"
",,
5,,"
Oceania
","15,294",+291,161,+6,"10,399",+3,"4,734",42,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"15,930,671","+288,254","641,868","+6,182","9,715,983","+185,873","5,572,820","66,185","2,044",82.3,,,,All,"
",,
8,1,USA,"4,248,203","+77,885","148,478 ","+1,129","2,027,615","+47,998","2,072,110","19,100","12,829",448,"52,520,426","158,610","331,129,317 ",North America,78,"2,230",6
9,2,Brazil,"2,348,200","+58,249","85,385 ","+1,178","1,592,281","+22,044","670,534","8,318","11,042",402,"4,911,063","23,094","212,657,106 ",South America,91,"2,491",43
10,3,India,"1,337,022","+48,892","31,406 ",+761,"850,107","+32,514","455,509","8,944",968,23,"15,428,170","11,173","1,380,863,473 ",Asia,"1,033","43,968",90
11,4,Russia,"800,849","+5,811","13,046 ",+154,"588,774","+8,444","199,029","2,300","5,488",89,"26,300,652","180,217","145,938,709 ",Europe,182,"11,186",6
12,5,South Africa,"421,996","+13,944","6,343 ",+250,"245,771","+9,511","169,882",539,"7,110",107,"2,684,488","45,228","59,355,008 ",Africa,141,"9,358",22
13,6,Peru,"375,961","+4,865","17,843 ",+189,"259,423","+3,478","98,695","1,372","11,393",541,"2,183,763","66,175","33,000,001 ",South America,88,"1,849",15
14,7,Mexico,"370,712","+8,438","41,908 ",+718,"236,209","+4,806","92,595","3,878","2,873",325,"879,608","6,818","129,018,075 ",North America,348,"3,079",147
15,8,Chile,"341,304","+2,545","8,914 ",+76,"313,696","+2,265","18,694","1,636","17,844",466,"1,485,711","77,677","19,126,692 ",South America,56,"2,146",13
16,9,Spain,"319,501","+2,255","28,432 ",+3,N/A,N/A,N/A,617,"6,833",608,"6,320,836","135,188","46,756,007 ",Europe,146,"1,644",7
17,10,UK,"297,914",+768,"45,677 ",+123,N/A,N/A,N/A,110,"4,387",673,"14,291,673","210,452","67,909,388 ",Europe,228,"1,487",5
18,11,Iran,"286,523","+2,489","15,289 ",+215,"249,212","+1,982","22,022","3,653","3,409",182,"2,278,384","27,104","84,059,439 ",Asia,293,"5,498",37
19,12,Pakistan,"270,400","+1,209","5,763 ",+54,"219,783","+6,608","44,854","1,316","1,223",26,"1,821,296","8,236","221,143,253 ",Asia,818,"38,373",121
20,13,Saudi Arabia,"262,772","+2,378","2,672 ",+37,"215,731","+2,241","44,369","2,143","7,541",77,"2,946,928","84,568","34,846,648 ",Asia,133,"13,041",12
21,14,Italy,"245,590",+252,"35,097 ",+5,"198,192",+350,"12,301",46,"4,062",581,"6,468,375","106,994","60,455,713 ",Europe,246,"1,723",9
22,15,Colombia,"233,541","+7,168","7,975 ",+287,"113,864","+5,913","111,702","1,456","4,587",157,"1,349,502","26,504","50,917,010 ",South America,218,"6,385",38
23,16,Turkey,"224,252",+937,"5,580 ",+17,"207,374","+1,009","11,298","1,248","2,657",66,"4,489,360","53,194","84,396,114 ",Asia,376,"15,125",19
24,17,Bangladesh,"218,658","+2,548","2,836 ",+35,"120,976","+1,768","94,846",1,"1,327",17,"1,091,034","6,621","164,793,168 ",Asia,754,"58,108",151
25,18,Germany,"205,960",+818,"9,201 ",+14,"190,400","+1,400","6,359",237,"2,458",110,"7,418,812","88,528","83,801,769 ",Europe,407,"9,108",11
26,19,France,"180,528","+1,130","30,192 ",+10,"80,815",+343,"69,521",410,"2,765",462,"2,982,302","45,683","65,283,190 ",Europe,362,"2,162",22
27,20,Argentina,"153,520","+5,493","2,807 ",+105,"65,447","+2,632","85,266",902,"3,395",62,"609,262","13,473","45,222,168 ",South America,295,"16,110",74
28,21,Canada,"113,206",+534,"8,881 ",+7,"98,873",+354,"5,452","2,221","2,998",235,"3,717,483","98,442","37,763,280 ",North America,334,"4,252",10
29,22,Qatar,"108,638",+394,164 ,,"105,420",+402,"3,054",101,"38,691",58,"464,674","165,494","2,807,805 ",Asia,26,"17,121",6
30,23,Iraq,"104,711","+2,485","4,212 ",+90,"71,268","+1,863","29,231",456,"2,600",105,"879,399","21,835","40,273,888 ",Asia,385,"9,562",46
31,24,Indonesia,"95,418","+1,761","4,665 ",+89,"53,945","+1,781","36,808",,349,17,"1,310,924","4,790","273,705,694 ",Asia,"2,868","58,672",209
32,25,Egypt,"91,072",+659,"4,518 ",+38,"31,970",+904,"54,584",41,889,44,"135,000","1,318","102,447,865 ",Africa,"1,125","22,675",759
33,26,Ecuador,"79,049",+901,"5,468 ",+29,"34,544","+1,089","39,037",346,"4,476",310,"221,152","12,523","17,659,303 ",South America,223,"3,230",80
34,27,Sweden,"78,997",+82,"5,697 ",+10,N/A,N/A,N/A,50,"7,819",564,"751,213","74,353","10,103,363 ",Europe,128,"1,773",13
35,28,Kazakhstan,"78,486","+1,687",585 ,,"49,488","+1,268","28,413",221,"4,177",31,"1,867,907","99,406","18,790,691 ",Asia,239,"32,121",10
