,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,78073,9.0,2715.0,,30072.0,8745.0,Asia
1,S. Korea,1261,284.0,12.0,1.0,24.0,18.0,Asia
2,Diamond Princess,705,14.0,4.0,,10.0,36.0,
3,Italy,470,147.0,12.0,1.0,3.0,35.0,Europe
4,Japan,172,11.0,3.0,2.0,23.0,13.0,Asia
5,Iran,139,44.0,19.0,3.0,25.0,,Asia
6,Singapore,93,2.0,,,62.0,7.0,Asia
7,Hong Kong,89,4.0,2.0,,18.0,6.0,Asia
8,USA,60,3.0,,,6.0,,N.America
9,Thailand,40,3.0,,,22.0,2.0,Asia
10,Bahrain,33,10.0,,,,,Asia
11,Taiwan,32,1.0,1.0,,5.0,1.0,Asia
12,Germany,27,9.0,,,15.0,2.0,Europe
13,Kuwait,26,15.0,,,,,Asia
14,Australia,23,1.0,,,15.0,,Oceania
15,Malaysia,22,,,,20.0,,Asia
16,France,18,4.0,2.0,1.0,11.0,1.0,Europe
17,Vietnam,16,,,,16.0,,Asia
18,Spain,13,4.0,,,2.0,,Europe
19,U.K.,13,,,,8.0,,Europe
20,U.A.E.,13,,,,3.0,2.0,Asia
21,Canada,12,1.0,,,3.0,,N.America
22,Macao,10,,,,6.0,,Asia
23,Iraq,5,,,,,,Asia
24,Oman,4,,,,,,Asia
25,Philippines,3,,1.0,,2.0,,Asia
26,Croatia,3,2.0,,,,,Europe
27,India,3,,,,3.0,,Asia
28,Austria,2,,,,,,Europe
29,Finland,2,1.0,,,1.0,,Europe
30,Israel,2,,,,,,Asia
31,Lebanon,2,1.0,,,,,Asia
32,Pakistan,2,2.0,,,,,Asia
33,Russia,2,,,,2.0,,Europe
34,Sweden,2,1.0,,,,,Europe
35,Afghanistan,1,,,,,,Asia
36,Algeria,1,,,,,,Africa
37,Belgium,1,,,,1.0,,Europe
38,Brazil,1,,,,,,South America
39,Cambodia,1,,,,1.0,,Asia
40,Egypt,1,,,,1.0,,Africa
41,Georgia,1,1.0,,,,,Asia
42,Greece,1,1.0,,,,,Europe
43,North Macedonia,1,1.0,,,,,Europe
44,Nepal,1,,,,1.0,,Asia
45,Norway,1,1.0,,,,,Europe
46,Romania,1,1.0,,,,,Europe
47,Sri Lanka,1,,,,1.0,,Asia
48,Switzerland,1,,,,,,Europe
