,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,78514,450.0,2747.0,32.0,32953.0,8346.0,Asia
1,S. Korea,1766,505.0,13.0,1.0,24.0,18.0,Asia
2,Diamond Princess,705,,4.0,,10.0,36.0,
3,Italy,528,58.0,14.0,2.0,3.0,35.0,Europe
4,Iran,245,106.0,26.0,7.0,25.0,,Asia
5,Japan,207,35.0,4.0,1.0,32.0,13.0,Asia
6,Singapore,93,,,,62.0,7.0,Asia
7,Hong Kong,92,3.0,2.0,,18.0,6.0,Asia
8,USA,60,,,,6.0,,N.America
9,Kuwait,43,17.0,,,,,Asia
10,Thailand,40,,,,22.0,2.0,Asia
11,Bahrain,33,,,,,,Asia
12,Taiwan,32,,1.0,,5.0,1.0,Asia
13,Germany,27,,,,15.0,2.0,Europe
14,Australia,23,,,,15.0,,Oceania
15,Malaysia,22,,,,20.0,,Asia
16,France,18,,2.0,,11.0,1.0,Europe
17,Vietnam,16,,,,16.0,,Asia
18,Spain,15,2.0,,,2.0,2.0,Europe
19,U.K.,15,2.0,,,8.0,,Europe
20,U.A.E.,13,,,,3.0,2.0,Asia
21,Canada,12,,,,3.0,,N.America
22,Macao,10,,,,6.0,,Asia
23,Iraq,6,1.0,,,,,Asia
24,Oman,4,,,,,,Asia
25,Switzerland,4,3.0,,,,,Europe
26,Philippines,3,,1.0,,2.0,,Asia
27,Austria,3,1.0,,,,,Europe
28,Croatia,3,,,,,,Europe
29,Greece,3,2.0,,,,,Europe
30,India,3,,,,3.0,,Asia
31,Israel,3,1.0,,,,,Asia
32,Finland,2,,,,1.0,,Europe
33,Lebanon,2,,,,,,Asia
34,Pakistan,2,,,,,,Asia
35,Russia,2,,,,2.0,,Europe
36,Sweden,2,,,,,,Europe
37,Afghanistan,1,,,,,,Asia
38,Algeria,1,,,,,,Africa
39,Belgium,1,,,,1.0,,Europe
40,Brazil,1,,,,,,South America
41,Cambodia,1,,,,1.0,,Asia
42,Denmark,1,1.0,,,,,Europe
43,Egypt,1,,,,1.0,,Africa
44,Estonia,1,1.0,,,,,Europe
45,Georgia,1,,,,,,Asia
46,North Macedonia,1,,,,,,Europe
47,Nepal,1,,,,1.0,,Asia
48,Norway,1,,,,,,Europe
49,Romania,1,,,,,,Europe
50,Sri Lanka,1,,,,1.0,,Asia
