,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","5,820,611","+44,816","226,371","+1,799","3,070,695","+34,679","2,523,545","25,751",,,,,,North America,"
",,
1,,"
South America
","4,381,977","+13,647","150,995",+440,"3,011,399","+6,045","1,219,583","14,325",,,,,,South America,"
",,
2,,"
Asia
","4,682,726","+81,024","103,778","+1,410","3,502,227","+69,981","1,076,721","18,862",,,,,,Asia,"
",,
3,,"
Europe
","2,962,687","+18,447","204,861",+383,"1,778,564","+11,034","979,262","5,306",,,,,,Europe,"
",,
4,,"
Africa
","987,870","+5,651","21,227",+84,"660,597","+5,190","306,046","1,188",,,,,,Africa,"
",,
5,,"
Oceania
","21,279",+755,272,+15,"12,468",+187,"8,539",47,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"18,857,871","+164,340","707,519","+4,131","12,036,601","+127,116","6,113,751","65,483","2,419",90.8,,,,All,"
",,
8,1,USA,"4,952,691","+34,271","161,143 ",+853,"2,508,917","+27,237","2,282,631","18,427","14,954",487,"62,053,882","187,368","331,187,544 ",North America,67,"2,055",5
9,2,Brazil,"2,817,473","+9,397","96,326 ",+230,"1,970,767",,"750,380","8,318","13,246",453,"13,329,028","62,665","212,702,448 ",South America,75,"2,208",16
10,3,India,"1,963,239","+56,626","40,739 ",+919,"1,327,200","+45,540","595,300","8,944","1,421",29,"21,484,402","15,554","1,381,270,916 ",Asia,704,"33,905",64
11,4,Russia,"866,627","+5,204","14,490 ",+139,"669,026","+7,555","183,111","2,300","5,938",99,"29,400,000","201,452","145,940,583 ",Europe,168,"10,072",5
12,5,South Africa,"521,318",,"8,884 ",,"363,751",,"148,683",539,"8,780",150,"3,078,202","51,841","59,377,480 ",Africa,114,"6,684",19
13,6,Mexico,"449,961","+6,148","48,869 ",+857,"300,254","+4,577","100,838","3,925","3,486",379,"1,026,294","7,952","129,058,762 ",North America,287,"2,641",126
14,7,Peru,"439,890",,"20,007 ",,"302,457",,"117,426","1,418","13,324",606,"2,440,184","73,914","33,013,808 ",South America,75,"1,650",14
15,8,Chile,"364,723","+1,761","9,792 ",+47,"338,291","+1,961","16,640","1,400","19,064",512,"1,737,813","90,835","19,131,618 ",South America,52,"1,954",11
16,9,Spain,"352,847","+2,953","28,499 ",+1,N/A,N/A,N/A,617,"7,546",610,"7,064,329","151,087","46,756,550 ",Europe,133,"1,641",7
17,10,Colombia,"334,979",,"11,315 ",,"180,258",,"143,406","1,493","6,577",222,"1,723,508","33,839","50,933,300 ",South America,152,"4,501",30
18,11,Iran,"317,483","+2,697","17,802 ",+185,"274,932","+2,397","24,749","4,129","3,775",212,"2,587,083","30,765","84,091,748 ",Asia,265,"4,724",33
19,12,UK,"307,184",+891,"46,364 ",+65,N/A,N/A,N/A,77,"4,523",683,"17,210,335","253,391","67,920,084 ",Europe,221,"1,465",4
20,13,Saudi Arabia,"282,824","+1,389","3,020 ",+36,"245,314","+1,626","34,490","1,991","8,112",87,"3,580,139","102,692","34,862,954 ",Asia,123,"11,544",10
21,14,Pakistan,"281,136",+675,"6,014 ",+15,"254,286","+4,889","20,836",872,"1,271",27,"2,043,870","9,237","221,272,375 ",Asia,787,"36,793",108
22,15,Italy,"248,803",+384,"35,181 ",+10,"200,976",+210,"12,646",41,"4,116",582,"7,041,040","116,471","60,453,051 ",Europe,243,"1,718",9
