,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80796,+18,3169.0,11.0,62826.0,14801,4257.0,56.1
1,Italy,15113,"+2,651",1016.0,189.0,1258.0,12839,1153.0,250.0
2,Iran,10075,"+1,075",429.0,75.0,3276.0,6370,,120.0
3,S. Korea,7869,+114,66.0,6.0,333.0,7470,54.0,153.5
4,Spain,3059,+782,86.0,31.0,189.0,2784,190.0,65.4
5,Germany,2512,+546,5.0,2.0,25.0,2482,9.0,30.0
6,France,2281,,48.0,,12.0,2221,105.0,34.9
7,USA,1502,+201,40.0,2.0,15.0,1447,10.0,4.5
8,Switzerland,868,+216,7.0,3.0,4.0,857,,100.3
9,Norway,736,+107,,,1.0,735,,135.8
10,Diamond Princess,696,,7.0,,325.0,364,32.0,
11,Japan,691,+52,19.0,4.0,118.0,554,29.0,5.5
12,Sweden,683,+183,1.0,,1.0,681,2.0,67.6
13,Denmark,674,+160,,,1.0,673,2.0,116.4
14,Netherlands,614,+111,5.0,,2.0,607,1.0,35.8
15,UK,590,+130,10.0,2.0,18.0,562,20.0,8.7
16,Belgium,399,+85,3.0,,1.0,395,2.0,34.4
17,Austria,361,+115,1.0,1.0,4.0,356,1.0,40.1
18,Qatar,262,,,,,262,,90.9
19,Bahrain,195,,,,35.0,160,1.0,114.6
20,Singapore,187,+9,,,96.0,91,12.0,32.0
21,Malaysia,158,+9,,,26.0,132,2.0,4.9
22,Australia,156,+28,3.0,,26.0,127,1.0,6.1
23,Hong Kong,130,,3.0,,77.0,50,6.0,17.3
24,Canada,122,+12,1.0,,9.0,112,1.0,3.2
25,Greece,117,+18,1.0,1.0,,116,2.0,11.2
26,Czechia,109,+15,,,,109,,10.2
27,Finland,109,+44,,,1.0,108,,19.7
28,Iceland,109,+24,,,,109,,
29,Israel,100,+3,,,4.0,96,2.0,11.6
30,Slovenia,89,+32,,,,89,,42.8
31,UAE,85,+11,,,20.0,65,2.0,8.6
32,Iraq,83,+12,8.0,1.0,24.0,51,,2.1
33,Kuwait,80,+8,,,5.0,75,4.0,18.7
34,Portugal,78,+17,,,1.0,77,1.0,7.6
35,India,74,+12,,,4.0,70,,0.1
36,Thailand,70,+11,1.0,,35.0,34,1.0,1.0
37,San Marino,69,,3.0,,,66,3.0,
38,Brazil,69,+17,,,,69,2.0,0.3
39,Lebanon,68,,3.0,1.0,1.0,64,3.0,10.0
40,Egypt,67,,1.0,,27.0,39,,0.7
41,Philippines,52,+3,2.0,,2.0,48,1.0,0.5
42,Romania,52,+5,,,6.0,46,1.0,2.7
43,Poland,51,+20,1.0,1.0,,50,3.0,1.3
44,Taiwan,49,+1,1.0,,20.0,28,,2.1
45,Saudi Arabia,45,,,,1.0,44,,1.3
46,Ireland,43,,1.0,,,42,,8.7
47,Vietnam,39,,,,16.0,23,,0.4
48,Indonesia,34,,1.0,,3.0,30,,0.1
49,Russia,34,+6,,,3.0,31,,0.2
50,Palestine,31,+1,,,,31,,6.1
51,Georgia,25,+1,,,,25,1.0,6.3
52,Brunei,25,+14,,,,25,,
53,Algeria,24,+4,1.0,1.0,8.0,15,,0.5
54,Albania,23,+8,1.0,,,22,,8.0
55,Bulgaria,23,+16,1.0,,,22,,3.3
56,Chile,23,,,,,23,,1.2
57,Costa Rica,22,,,,,22,1.0,4.3
58,Peru,22,+5,,,,22,,0.7
59,Argentina,21,,1.0,,,20,1.0,0.5
60,Pakistan,21,+1,,,2.0,19,,0.1
61,Slovakia,21,+11,,,,21,,3.8
62,Croatia,19,,,,1.0,18,,4.6
63,Estonia,19,+3,,,,19,,14.3
64,Luxembourg,19,+12,,,,19,,
65,Serbia,19,+1,,,,19,,2.2
66,Oman,18,,,,9.0,9,,3.5
67,Ecuador,17,,,,,17,1.0,1.0
68,South Africa,17,+4,,,,17,,0.3
69,Latvia,16,+6,,,1.0,15,,8.5
70,Hungary,16,+3,,,,16,,1.7
71,Azerbaijan,15,+4,1.0,1.0,3.0,11,,1.5
72,Panama,14,,1.0,,,13,,3.2
73,Belarus,12,+3,,,3.0,9,,1.3
74,Mexico,12,+1,,,4.0,8,1.0,0.1
75,Bosnia and Herzegovina,11,+4,,,,11,,3.4
76,Macao,10,,,,10.0,0,,
77,North Macedonia,9,,,,1.0,8,,4.3
78,Colombia,9,,,,,9,,0.2
79,Malta,9,+2,,,,9,,
80,Maldives,8,,,,,8,,
81,Afghanistan,7,,,,,7,,0.2
82,Tunisia,7,,,,,7,1.0,0.6
83,Cyprus,7,+1,,,,7,,5.8
84,Morocco,6,,1.0,,,5,1.0,0.2
85,Armenia,6,+5,,,,6,,2.0
86,French Guiana,6,,,,,6,,
87,Moldova,6,+3,,,,6,,1.5
88,Cambodia,5,,,,1.0,4,,0.3
89,Dominican Republic,5,,,,,5,,0.5
90,New Zealand,5,,,,,5,,1.0
91,Senegal,5,+1,,,1.0,4,,0.3
92,Paraguay,5,,,,,5,1.0,0.7
93,Liechtenstein,4,+1,,,,4,,
94,Lithuania,3,,,,,3,,1.1
95,Sri Lanka,3,+1,,,1.0,2,,0.1
96,Bangladesh,3,,,,,3,,
97,Bolivia,3,+1,,,,3,,0.3
98,Channel Islands,3,+1,,,,3,,
99,Cuba,3,,,,,3,,0.3
100,Martinique,3,,,,,3,,
101,Nigeria,2,,,,,2,,
102,Burkina Faso,2,,,,,2,,0.1
103,Cameroon,2,,,,,2,,0.1
104,Faeroe Islands,2,,,,,2,,
105,Honduras,2,,,,,2,,0.2
106,Jamaica,2,,,,,2,,0.7
107,Saint Martin,2,,,,,2,,
108,Guyana,1,+1,1.0,1.0,,0,,
109,Andorra,1,,,,,1,,
110,Jordan,1,,,,,1,,0.1
111,Monaco,1,,,,,1,,
112,Nepal,1,,,,1.0,0,,
113,Ukraine,1,,,,,1,,
114,Bhutan,1,,,,,1,,
115,Ivory Coast,1,,,,,1,,
116,DRC,1,,,,,1,,
117,French Polynesia,1,,,,,1,,
118,Gibraltar,1,,,,1.0,0,,
119,Vatican City,1,,,,,1,,
120,Mongolia,1,,,,,1,,0.3
121,Réunion,1,,,,,1,,
122,St. Barth,1,,,,,1,,
123,St. Vincent Grenadines,1,,,,,1,,
124,Togo,1,,,,,1,,0.1
125,Turkey,1,,,,,1,,
126,Total:,133181,6982,4950.0,333.0,68898.0,59333,5923.0,17.1
