,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","11,313,598",,"353,425",,"7,474,977",,"3,485,196","20,889",,,,,,North America,"
",,
1,,"
Asia
","13,766,688",+121,"244,370",+2,"12,256,444",+58,"1,265,874","21,971",,,,,,Asia,"
",,
2,,"
South America
","9,709,457",,"295,529",,"8,671,868",,"742,060","18,269",,,,,,South America,"
",,
3,,"
Europe
","10,170,973",,"267,493",,"3,839,646",,"6,063,834","21,771",,,,,,Europe,"
",,
4,,"
Africa
","1,805,820",,"43,244",,"1,472,758",,"289,818","2,315",,,,,,Africa,"
",,
5,,"
Oceania
","37,488",+10,970,,"32,677",+3,"3,841",25,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,659,,47,4,,,,,,,"
",,
7,,World,"46,804,745",+131,"1,205,046",+2,"33,749,029",+61,"11,850,670","85,244","6,005",154.6,,,,All,"
",,
8,1,USA,"9,473,911",,"236,471 ",,"6,103,605",,"3,133,835","17,205","28,565",713,"145,037,425","437,309","331,658,650 ",North America,35,"1,403",2
9,2,India,"8,229,322",,"122,642 ",,"7,542,905",,"563,775","8,944","5,944",89,"109,887,303","79,366","1,384,567,503 ",Asia,168,"11,290",13
10,3,Brazil,"5,545,705",,"160,104 ",,"4,980,942",,"404,659","8,318","26,028",751,"21,900,000","102,783","213,069,306 ",South America,38,"1,331",10
11,4,Russia,"1,636,781",,"28,235 ",,"1,225,673",,"382,873","2,300","11,214",193,"61,029,746","418,139","145,955,748 ",Europe,89,"5,169",2
12,5,France,"1,413,915",,"37,019 ",,"118,227",,"1,258,669","3,578","21,645",567,"16,303,968","249,592","65,322,540 ",Europe,46,"1,765",4
13,6,Spain,"1,264,517",,"35,878 ",,N/A,N/A,N/A,"2,482","27,042",767,"16,690,076","356,923","46,760,938 ",Europe,37,"1,303",3
14,7,Argentina,"1,173,533",,"31,140 ",,"985,316",,"157,077","5,119","25,886",687,"3,022,449","66,669","45,335,371 ",South America,39,"1,456",15
15,8,Colombia,"1,083,321",,"31,515 ",,"977,804",,"74,002","2,376","21,215",617,"5,095,049","99,776","51,065,104 ",South America,47,"1,620",10
16,9,UK,"1,034,914",,"46,717 ",,N/A,N/A,N/A,978,"15,218",687,"33,470,217","492,161","68,006,623 ",Europe,66,"1,456",2
17,10,Mexico,"924,962",,"91,753 ",,"677,659",,"155,550","2,838","7,149",709,"2,403,499","18,576","129,387,958 ",North America,140,"1,410",54
18,11,Peru,"904,911",,"34,529 ",,"827,613",,"42,769","1,041","27,318","1,042","4,537,540","136,980","33,125,526 ",South America,37,959,7
19,12,South Africa,"726,823",,"19,411 ",,"655,330",,"52,082",546,"12,203",326,"4,842,516","81,306","59,559,300 ",Africa,82,"3,068",12
20,13,Italy,"709,335",,"38,826 ",,"292,380",,"378,129","1,939","11,738",642,"15,967,918","264,232","60,431,518 ",Europe,85,"1,556",4
21,14,Iran,"620,491",,"35,298 ",,"486,691",,"98,502","5,244","7,356",418,"4,965,326","58,864","84,353,165 ",Asia,136,"2,390",17
22,15,Germany,"544,346",,"10,622 ",,"355,900",,"177,824","2,061","6,490",127,"21,882,967","260,900","83,874,775 ",Europe,154,"7,896",4
23,16,Chile,"511,864",,"14,247 ",,"488,166",,"9,451",743,"26,699",743,"4,349,913","226,895","19,171,475 ",South America,37,"1,346",4
24,17,Iraq,"475,288",,"10,966 ",,"402,782",,"61,540",465,"11,729",271,"2,877,217","71,005","40,521,095 ",Asia,85,"3,695",14
25,18,Belgium,"429,229",,"11,625 ",,"25,569",,"392,035","1,160","36,981","1,002","4,965,586","427,821","11,606,701 ",Europe,27,998,2
26,19,Indonesia,"412,784",,"13,943 ",,"341,942",,"56,899",,"1,504",51,"4,540,947","16,543","274,495,470 ",Asia,665,"19,687",60
27,20,Bangladesh,"409,252",,"5,941 ",,"325,940",,"77,371",,"2,477",36,"2,348,811","14,214","165,241,118 ",Asia,404,"27,814",70
28,21,Ukraine,"395,440",,"7,306 ",,"161,441",,"226,693",177,"9,061",167,"3,312,549","75,900","43,643,732 ",Europe,110,"5,974",13
29,22,Philippines,"383,113",,"7,238 ",,"348,760",,"27,115","1,483","3,481",66,"4,815,349","43,748","110,069,447 ",Asia,287,"15,207",23
30,23,Poland,"379,902",,"5,783 ",,"146,595",,"227,524","1,371","10,042",153,"4,763,377","125,907","37,832,486 ",Europe,100,"6,542",8
31,24,Turkey,"377,473",,"10,326 ",,"325,486",,"41,661","2,177","4,460",122,"14,125,157","166,877","84,643,935 ",Asia,224,"8,197",6
32,25,Netherlands,"359,861",,"7,434 ",,N/A,N/A,N/A,607,"20,986",434,"3,327,701","194,061","17,147,742 ",Europe,48,"2,307",5
33,26,Saudi Arabia,"347,656",,"5,420 ",,"334,236",,"8,000",771,"9,934",155,"8,097,534","231,392","34,994,884 ",Asia,101,"6,457",4
34,27,Czechia,"341,644",,"3,429 ",,"157,418",,"180,797","1,156","31,882",320,"2,323,966","216,874","10,715,728 ",Europe,31,"3,125",5
35,28,Pakistan,"333,970",,"6,823 ",,"314,555",,"12,592",648,"1,502",31,"4,458,890","20,056","222,317,083 ",Asia,666,"32,583",50
36,29,Israel,"314,943",,"2,554 ",,"302,709",,"9,680",394,"34,242",278,"4,614,569","501,715","9,197,590 ",Asia,29,"3,601",2
37,30,Romania,"246,663",,"7,067 ",,"175,975",,"63,621",910,"12,851",368,"3,264,304","170,072","19,193,685 ",Europe,78,"2,716",6
38,31,Canada,"236,841",,"10,179 ",,"197,729",,"28,933",218,"6,257",269,"9,753,158","257,655","37,853,597 ",North America,160,"3,719",4
39,32,Morocco,"222,544",,"3,762 ",,"184,313",,"34,469",840,"6,005",102,"3,347,872","90,343","37,057,325 ",Africa,167,"9,850",11
40,33,Nepal,"173,567",,960 ,,"134,842",,"37,765",,"5,922",33,"1,456,366","49,686","29,311,217 ",Asia,169,"30,533",20
41,34,Ecuador,"169,194",,"12,684 ",,"149,048",,"7,462",342,"9,541",715,"548,790","30,948","17,732,544 ",South America,105,"1,398",32
42,35,Switzerland,"154,251",,"2,326 ",,"65,200",,"86,725",243,"17,779",268,"1,933,386","222,844","8,675,975 ",Europe,56,"3,730",4
43,36,Portugal,"144,341",,"2,544 ",,"81,771",,"60,026",284,"14,170",250,"3,361,537","329,997","10,186,557 ",Europe,71,"4,004",3
44,37,Bolivia,"141,757",,"8,725 ",,"111,503",,"21,529",71,"12,089",744,"333,282","28,422","11,726,315 ",South America,83,"1,344",35
45,38,Panama,"134,336",,"2,706 ",,"111,634",,"19,996",107,"30,971",624,"676,295","155,920","4,337,439 ",North America,32,"1,603",6
46,39,UAE,"133,907",,496 ,,"130,508",,"2,903",,"13,484",50,"13,296,706","1,338,979","9,930,478 ",Asia,74,"20,021",1
47,40,Qatar,"132,720",,232 ,,"129,784",,"2,704",36,"47,268",83,"979,011","348,675","2,807,805 ",Asia,21,"12,103",3
48,41,Dominican Republic,"127,332",,"2,249 ",,"105,289",,"19,794",174,"11,698",207,"598,728","55,007","10,884,487 ",North America,85,"4,840",18
49,42,Kuwait,"126,534",,782 ,,"117,558",,"8,194",109,"29,484",182,"921,278","214,666","4,291,679 ",Asia,34,"5,488",5
50,43,Sweden,"124,355",,"5,938 ",,N/A,N/A,N/A,59,"12,287",587,"2,242,469","221,576","10,120,539 ",Europe,81,"1,704",5
51,44,Oman,"115,734",,"1,246 ",,"105,700",,"8,788",175,"22,475",242,"376,700","73,154","5,149,417 ",Asia,44,"4,133",14
52,45,Kazakhstan,"112,418",,"1,825 ",,"106,400",,"4,193",221,"5,963",97,"3,309,626","175,558","18,852,041 ",Asia,168,"10,330",6
53,46,Costa Rica,"109,971",,"1,385 ",,"66,719",,"41,867",186,"21,522",271,"308,063","60,289","5,109,776 ",North America,46,"3,689",17
54,47,Austria,"109,881",,"1,130 ",,"69,336",,"39,415",291,"12,177",125,"2,232,735","247,428","9,023,769 ",Europe,82,"7,986",4
55,48,Guatemala,"108,104",,"3,738 ",,"97,756",,"6,610",5,"5,997",207,"435,382","24,153","18,025,788 ",North America,167,"4,822",41
56,49,Egypt,"107,736",,"6,278 ",,"99,555",,"1,903",41,"1,046",61,"135,000","1,311","102,976,017 ",Africa,956,"16,403",763
57,50,Japan,"101,146",,"1,766 ",,"92,960",,"6,420",160,801,14,"2,721,305","21,539","126,344,230 ",Asia,"1,249","71,543",46
58,51,Belarus,"99,459",,985 ,,"87,188",,"11,286",,"10,527",104,"2,522,817","267,014","9,448,265 ",Europe,95,"9,592",4
59,52,Honduras,"97,404",,"2,672 ",,"40,379",,"54,353",23,"9,782",268,"229,147","23,013","9,957,178 ",North America,102,"3,726",43
60,53,Ethiopia,"96,583",,"1,478 ",,"53,452",,"41,653",336,833,13,"1,487,270","12,832","115,902,683 ",Africa,"1,200","78,419",78
61,54,Venezuela,"92,325",,801 ,,"87,156",,"4,368",117,"3,250",28,"2,127,032","74,873","28,408,431 ",South America,308,"35,466",13
62,55,Armenia,"92,254",,"1,363 ",,"55,827",,"35,064",,"31,113",460,"407,980","137,593","2,965,124 ",Asia,32,"2,175",7
63,56,Lebanon,"82,617",,643 ,,"42,904",,"39,070",270,"12,123",94,"1,236,497","181,438","6,814,990 ",Asia,82,"10,599",6
64,57,Bahrain,"81,923",,321 ,,"78,997",,"2,605",24,"47,607",187,"1,759,316","1,022,378","1,720,808 ",Asia,21,"5,361",1
65,58,Hungary,"79,199",,"1,819 ",,"20,078",,"57,302",306,"8,205",188,"1,083,743","112,282","9,651,979 ",Europe,122,"5,306",9
66,59,Moldova,"76,582",,"1,800 ",,"56,312",,"18,470",790,"18,999",447,"375,308","93,111","4,030,764 ",Europe,53,"2,239",11
67,60,Jordan,"75,866",,866 ,,"7,740",,"67,260",279,"7,411",85,"1,879,955","183,640","10,237,196 ",Asia,135,"11,821",5
68,61,Uzbekistan,"67,101",,570 ,,"64,354",,"2,177",266,"1,995",17,"1,377,915","40,971","33,631,374 ",Asia,501,"59,002",24
69,62,Paraguay,"63,731",,"1,418 ",,"43,403",,"18,910",118,"8,899",198,"367,224","51,275","7,161,913 ",South America,112,"5,051",20
70,63,Nigeria,"62,964",,"1,146 ",,"58,790",,"3,028",7,303,6,"627,600","3,020","207,824,451 ",Africa,"3,301","181,348",331
71,64,Libya,"62,045",,871 ,,"35,853",,"25,321",,"8,989",126,"320,901","46,490","6,902,567 ",Africa,111,"7,925",22
72,65,Ireland,"62,002",,"1,915 ",,"23,364",,"36,723",44,"12,510",386,"1,634,578","329,798","4,956,305 ",Europe,80,"2,588",3
