,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,1722839,"+24,004",104775.0,"+2,091",389292.0,1228772,49950.0,221.0,13.4,,
1,USA,503177,+301,18761.0,+14,27314.0,457102,10917.0,1520.0,57.0,2538888.0,7670.0
2,Spain,161852,"+3,579",16353.0,+272,59109.0,86390,7371.0,3462.0,350.0,355000.0,7593.0
3,Italy,147577,,18849.0,,30455.0,98273,3497.0,2441.0,312.0,906864.0,14999.0
4,France,124869,,13197.0,,24932.0,86740,7004.0,1913.0,202.0,333807.0,5114.0
5,Germany,122855,+684,2736.0,,53913.0,66206,4895.0,1466.0,33.0,1317887.0,15730.0
6,UK,78991,"+5,233",9875.0,+917,344.0,68772,1559.0,1164.0,145.0,334974.0,4934.0
7,Iran,70029,"+1,837",4357.0,+125,41947.0,23725,3987.0,834.0,52.0,251703.0,2997.0
8,Turkey,47029,,1006.0,,2423.0,43600,1667.0,558.0,12.0,307210.0,3643.0
9,Belgium,28018,"+1,351",3346.0,+327,5986.0,18686,1262.0,2418.0,289.0,102151.0,8814.0
10,Switzerland,24900,+349,1003.0,+1,11100.0,12797,386.0,2877.0,116.0,190000.0,21954.0
11,Netherlands,24413,"+1,316",2643.0,+132,250.0,21520,1424.0,1425.0,154.0,101534.0,5926.0
12,Canada,22148,,569.0,,6013.0,15566,557.0,587.0,15.0,383322.0,10156.0
13,Brazil,19943,+154,1074.0,+6,173.0,18696,296.0,94.0,5.0,62985.0,296.0
14,Portugal,15987,+515,470.0,+35,266.0,15251,233.0,1568.0,46.0,140863.0,13815.0
15,Austria,13782,+222,337.0,+18,6604.0,6841,246.0,1530.0,37.0,140975.0,15653.0
16,Russia,13584,"+1,667",106.0,+12,1045.0,12433,8.0,93.0,0.7,1184442.0,8116.0
17,Israel,10525,+117,96.0,+1,1258.0,9171,180.0,1216.0,11.0,117339.0,13557.0
18,S. Korea,10480,+30,211.0,+3,7243.0,3026,55.0,204.0,4.0,510479.0,9957.0
19,Sweden,10151,+466,887.0,+17,381.0,8883,774.0,1005.0,88.0,54700.0,5416.0
20,Ireland,8089,,287.0,,25.0,7777,194.0,1638.0,58.0,53000.0,10734.0
21,India,7997,+397,249.0,,774.0,6974,,6.0,0.2,189111.0,137.0
22,Ecuador,7161,,297.0,,368.0,6496,171.0,406.0,17.0,21568.0,1222.0
23,Chile,6501,,65.0,,1571.0,4865,70.0,340.0,3.0,72797.0,3808.0
24,Norway,6360,+46,114.0,+1,32.0,6214,67.0,1173.0,21.0,124279.0,22924.0
25,Australia,6292,+54,56.0,+2,3265.0,2971,80.0,247.0,2.0,347847.0,13641.0
26,Poland,6088,+133,195.0,+14,375.0,5518,160.0,161.0,5.0,129560.0,3423.0
27,Japan,6005,,99.0,,762.0,5144,109.0,47.0,0.8,64387.0,509.0
28,Denmark,5996,+177,260.0,+13,1955.0,3781,106.0,1035.0,45.0,67771.0,11700.0
29,Romania,5990,+523,282.0,+12,758.0,4950,208.0,311.0,15.0,59272.0,3081.0
30,Peru,5897,,169.0,,1569.0,4159,130.0,179.0,5.0,56681.0,1719.0
31,Czechia,5735,+3,123.0,+4,370.0,5242,92.0,536.0,11.0,120285.0,11232.0
32,Pakistan,4970,+275,77.0,+11,762.0,4131,50.0,22.0,0.3,57836.0,262.0
33,Malaysia,4530,+184,73.0,+3,1995.0,2462,72.0,140.0,2.0,71897.0,2221.0
34,Philippines,4428,+233,247.0,+26,157.0,4024,1.0,40.0,2.0,24500.0,224.0
35,Saudi Arabia,4033,+382,52.0,+5,720.0,3261,57.0,116.0,1.0,115585.0,3320.0
36,Mexico,3844,+403,233.0,+39,633.0,2978,89.0,30.0,2.0,31492.0,244.0
37,Indonesia,3842,+330,327.0,+21,286.0,3229,,14.0,1.0,19452.0,71.0
38,UAE,3736,+376,20.0,+4,588.0,3128,1.0,378.0,2.0,593095.0,59967.0
39,Serbia,3380,+275,74.0,+3,118.0,3188,145.0,387.0,8.0,16339.0,1870.0
40,Luxembourg,3223,,54.0,,500.0,2669,30.0,5149.0,86.0,28273.0,45166.0
41,Panama,2974,,74.0,,17.0,2883,104.0,689.0,17.0,11776.0,2729.0
42,Finland,2905,+136,49.0,+1,300.0,2556,80.0,524.0,9.0,44354.0,8005.0
43,Qatar,2728,+216,6.0,,247.0,2475,37.0,947.0,2.0,47751.0,16574.0
44,Dominican Republic,2620,,126.0,,98.0,2396,147.0,242.0,12.0,7936.0,732.0
45,Thailand,2518,+45,35.0,+2,1135.0,1348,61.0,36.0,0.5,71860.0,1030.0
46,Ukraine,2511,+308,73.0,+4,79.0,2359,45.0,57.0,2.0,26577.0,608.0
47,Colombia,2473,,80.0,,197.0,2196,85.0,49.0,2.0,37593.0,739.0
48,Belarus,2226,+245,23.0,+4,172.0,2031,72.0,236.0,2.0,53000.0,5609.0
