,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80430,21.0,3013.0,1.0,25147,52270.0,5952.0
1,S. Korea,6088,467.0,40.0,5.0,5913,135.0,52.0
2,Italy,3858,769.0,148.0,41.0,3296,414.0,351.0
3,Iran,3513,591.0,108.0,16.0,2666,739.0,
4,Diamond Princess,696,,6.0,,478,212.0,35.0
5,Germany,545,283.0,,,528,17.0,2.0
6,France,423,138.0,7.0,3.0,404,12.0,23.0
7,Japan,364,33.0,6.0,,315,43.0,29.0
8,Spain,282,54.0,3.0,1.0,276,3.0,7.0
9,USA,221,63.0,12.0,1.0,200,9.0,8.0
10,Switzerland,119,26.0,1.0,1.0,115,3.0,
11,Singapore,117,5.0,,,36,81.0,7.0
12,UK,116,29.0,1.0,1.0,97,18.0,
13,Hong Kong,105,2.0,2.0,,66,37.0,6.0
14,Sweden,94,42.0,,,93,1.0,
15,Norway,91,32.0,,,91,,
16,Netherlands,82,44.0,,,82,,1.0
17,Australia,60,7.0,2.0,,36,22.0,1.0
18,Kuwait,58,2.0,,,58,,
19,Bahrain,55,3.0,,,51,4.0,
20,Malaysia,55,5.0,,,33,22.0,
21,Belgium,50,27.0,,,49,1.0,1.0
22,Thailand,47,4.0,1.0,,15,31.0,1.0
23,Taiwan,44,2.0,1.0,,31,12.0,
24,Austria,43,14.0,,,41,2.0,1.0
25,Canada,37,3.0,,,29,8.0,1.0
26,Iraq,36,1.0,3.0,1.0,33,,
27,Iceland,35,9.0,,,35,,
28,Greece,31,22.0,,,31,,
29,India,30,1.0,,,27,3.0,
30,UAE,28,,,,23,5.0,2.0
31,San Marino,21,5.0,1.0,,20,,3.0
32,Denmark,20,5.0,,,19,1.0,
33,Algeria,17,,,,17,,
34,Israel,17,2.0,,,15,2.0,
35,Lebanon,16,1.0,,,16,,1.0
36,Oman,16,1.0,,,14,2.0,
37,Vietnam,16,,,,0,16.0,
38,Ecuador,13,3.0,,,13,,1.0
39,Ireland,13,7.0,,,13,,
40,Czechia,12,4.0,,,12,,
41,Finland,12,5.0,,,11,1.0,
42,Macao,10,,,,1,9.0,
43,Croatia,10,,,,10,,
44,Georgia,9,6.0,,,9,,1.0
45,Portugal,9,3.0,,,9,,
46,Brazil,8,5.0,,,8,,
47,Qatar,8,,,,8,,
48,Palestine,7,7.0,,,7,,
49,Azerbaijan,6,3.0,,,6,,
50,Belarus,6,,,,6,,
51,Mexico,6,,,,5,1.0,
52,Romania,6,,,,5,1.0,
53,Slovenia,6,5.0,,,6,,
54,Estonia,5,3.0,,,5,,
55,Pakistan,5,,,,5,,
56,Saudi Arabia,5,3.0,,,4,1.0,
57,New Zealand,4,1.0,,,4,,
58,Russia,4,1.0,,,2,2.0,
59,Senegal,4,,,,4,,
60,Chile,4,1.0,,,4,,
61,Hungary,4,2.0,,,4,,
62,Philippines,3,,1.0,,0,2.0,
63,Egypt,3,1.0,,,2,1.0,
64,Indonesia,2,,,,2,,
65,Luxembourg,2,1.0,,,2,,
66,Morocco,2,1.0,,,2,,1.0
67,Argentina,2,1.0,,,2,,
68,Bosnia and Herzegovina,2,2.0,,,2,,
69,Afghanistan,1,,,,1,,
70,Andorra,1,,,,1,,
71,Armenia,1,,,,1,,
72,Cambodia,1,,,,0,1.0,
73,Dominican Republic,1,,,,1,,
74,Jordan,1,,,,1,,
75,Latvia,1,,,,0,1.0,
76,Lithuania,1,,,,1,,
77,North Macedonia,1,,,,1,,
78,Monaco,1,,,,1,,
79,Nepal,1,,,,0,1.0,
80,Nigeria,1,,,,1,,
81,Sri Lanka,1,,,,0,1.0,
82,Tunisia,1,,,,1,,
83,Ukraine,1,,,,1,,
84,Costa Rica,1,1.0,,,1,,
85,Gibraltar,1,,,,1,,
86,Liechtenstein,1,,,,1,,
87,Poland,1,,,,1,,
88,South Africa,1,1.0,,,1,,
89,Total:,98088,2780.0,3356.0,71.0,40585,54147.0,6487.0
