,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80576,+167,3042.0,30.0,23605,53929.0,5737.0
1,S. Korea,6593,+309,43.0,1.0,6415,135.0,52.0
2,Iran,4747,"+1,234",124.0,16.0,3710,913.0,
3,Italy,3858,,148.0,,3296,414.0,351.0
4,Diamond Princess,696,,6.0,,478,212.0,34.0
5,Germany,578,+33,,,561,17.0,8.0
6,France,577,+154,9.0,2.0,556,12.0,23.0
7,Japan,420,+56,6.0,,368,46.0,34.0
8,Spain,386,+104,5.0,2.0,378,3.0,9.0
9,USA,239,+18,14.0,2.0,210,15.0,8.0
10,Switzerland,214,+94,1.0,,210,3.0,
11,UK,163,+47,2.0,1.0,143,18.0,
12,Singapore,130,+13,,,49,81.0,7.0
13,Netherlands,128,+46,1.0,1.0,127,,1.0
14,Belgium,109,+59,,,108,1.0,1.0
15,Norway,108,+14,,,107,1.0,
16,Hong Kong,105,,2.0,,66,37.0,6.0
17,Sweden,101,+7,,,100,1.0,
18,Malaysia,83,+28,,,61,22.0,
19,Australia,60,,2.0,,36,22.0,1.0
20,Bahrain,60,+5,,,56,4.0,
21,Kuwait,58,,,,58,,
22,Austria,55,+12,,,53,2.0,1.0
23,Thailand,48,+1,1.0,,16,31.0,1.0
24,Canada,48,+11,,,40,8.0,1.0
25,Greece,45,+14,,,45,,
26,Taiwan,44,,1.0,,28,15.0,
27,Iceland,43,+8,,,43,,
28,Iraq,40,,3.0,,36,1.0,
29,India,31,+1,,,28,3.0,
30,UAE,29,+1,,,24,5.0,2.0
31,San Marino,23,+2,1.0,,22,,4.0
32,Denmark,23,+3,,,22,1.0,
33,Czechia,18,+6,,,18,,
34,Algeria,17,,,,17,,
35,Israel,17,,,,15,2.0,
36,Lebanon,16,,,,16,,1.0
37,Oman,16,,,,14,2.0,
38,Vietnam,16,,,,0,16.0,
39,Egypt,15,+12,,,14,1.0,
40,Finland,15,+3,,,14,1.0,
41,Ecuador,13,,,,13,,1.0
42,Ireland,13,,,,13,,
43,Portugal,13,+4,,,13,,
44,Russia,13,+6,,,11,2.0,
45,Croatia,11,+1,,,11,,
46,Qatar,11,+3,,,11,,
47,Macao,10,,,,1,9.0,
48,Estonia,10,+5,,,10,,
49,Brazil,9,+1,,,9,,
50,Georgia,9,,,,9,,1.0
51,Romania,9,+3,,,6,3.0,
52,Slovenia,7,+1,,,7,,
53,Palestine,7,,,,7,,
54,Azerbaijan,6,,,,6,,
55,Belarus,6,,,,6,,
56,Mexico,6,,,,5,1.0,
57,Pakistan,6,+1,,,5,1.0,
58,Philippines,5,+2,1.0,,2,2.0,1.0
59,Saudi Arabia,5,,,,4,1.0,
60,Poland,5,+4,,,5,,
61,Indonesia,4,+2,,,4,,
62,New Zealand,4,,,,4,,
63,Senegal,4,,,,4,,
64,Chile,4,,,,4,,
65,Hungary,4,,,,4,,
66,Bosnia and Herzegovina,3,+1,,,3,,
67,Dominican Republic,2,+1,,,2,,
68,Luxembourg,2,,,,2,,
69,Morocco,2,,,,2,,1.0
70,Argentina,2,,,,2,,
71,Afghanistan,1,,,,1,,
72,Andorra,1,,,,1,,
73,Armenia,1,,,,1,,
74,Cambodia,1,,,,0,1.0,
75,Jordan,1,,,,1,,
76,Latvia,1,,,,0,1.0,
77,Lithuania,1,,,,1,,
78,North Macedonia,1,,,,1,,
79,Monaco,1,,,,1,,
80,Nepal,1,,,,0,1.0,
81,Nigeria,1,,,,1,,
82,Sri Lanka,1,,,,0,1.0,
83,Tunisia,1,,,,1,,
84,Ukraine,1,,,,1,,
85,Bhutan,1,+1,,,1,,
86,Cameroon,1,+1,,,1,,
87,Costa Rica,1,,,,1,,
88,Gibraltar,1,,,,1,,
89,Vatican City,1,+1,,,1,,
90,Liechtenstein,1,,,,1,,
91,Peru,1,+1,,,1,,
92,Serbia,1,+1,,,1,,
93,Slovakia,1,+1,,,1,,
94,South Africa,1,,,,1,,
95,Togo,1,+1,,,1,,
96,Total:,100778,2504,3412.0,55.0,41369,55997.0,6286.0
