,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80576,+167,3042.0,30.0,23605,53929.0,5737.0
1,S. Korea,6593,+309,43.0,1.0,6415,135.0,52.0
2,Iran,4747,"+1,234",124.0,16.0,3710,913.0,
3,Italy,4636,+778,197.0,49.0,3916,523.0,462.0
4,Diamond Princess,696,,6.0,,478,212.0,34.0
5,Germany,670,+125,,,653,17.0,8.0
6,France,653,+230,9.0,2.0,632,12.0,23.0
7,Japan,420,+56,6.0,,368,46.0,34.0
8,Spain,400,+118,6.0,3.0,391,3.0,9.0
9,USA,259,+38,14.0,2.0,230,15.0,8.0
10,Switzerland,214,+94,1.0,,210,3.0,
11,UK,164,+48,2.0,1.0,144,18.0,
12,Sweden,136,+42,,,135,1.0,
13,Singapore,130,+13,,,49,81.0,7.0
14,Netherlands,128,+46,1.0,1.0,127,,1.0
15,Norway,120,+26,,,119,1.0,
16,Belgium,109,+59,,,108,1.0,1.0
17,Hong Kong,105,,2.0,,66,37.0,6.0
18,Malaysia,83,+28,,,60,23.0,
19,Australia,63,+3,2.0,,39,22.0,1.0
20,Bahrain,60,+5,,,56,4.0,
21,Kuwait,58,,,,57,1.0,
22,Austria,55,+12,,,53,2.0,1.0
23,Canada,49,+12,,,41,8.0,1.0
24,Thailand,48,+1,1.0,,16,31.0,1.0
25,Taiwan,45,+1,1.0,,29,15.0,
26,Greece,45,+14,,,45,,
27,Iceland,43,+8,,,43,,
28,Iraq,40,,3.0,,36,1.0,
29,India,31,+1,,,28,3.0,
30,UAE,29,+1,,,24,5.0,2.0
31,San Marino,23,+2,1.0,,22,,4.0
32,Denmark,23,+3,,,22,1.0,
33,Lebanon,22,+6,,,22,,1.0
34,Israel,21,+4,,,19,2.0,
35,Czechia,19,+7,,,19,,
36,Algeria,17,,,,17,,
37,Vietnam,17,+1,,,1,16.0,
38,Oman,16,,,,14,2.0,
39,Palestine,16,+9,,,16,,
40,Egypt,15,+12,,,14,1.0,
41,Finland,15,+3,,,14,1.0,
42,Brazil,13,+5,,,13,,
43,Ecuador,13,,,,13,,1.0
44,Ireland,13,,,,13,,
45,Portugal,13,+4,,,13,,
46,Russia,13,+6,,,11,2.0,
47,Croatia,11,+1,,,11,,
48,Qatar,11,+3,,,11,,
49,Macao,10,,,,1,9.0,
50,Estonia,10,+5,,,10,,
51,Georgia,9,,,,9,,1.0
52,Romania,9,+3,,,6,3.0,
53,Slovenia,8,+2,,,8,,
54,Azerbaijan,6,,,,6,,
55,Belarus,6,,,,6,,
56,Mexico,6,,,,5,1.0,
57,Pakistan,6,+1,,,5,1.0,
58,Philippines,5,+2,1.0,,2,2.0,1.0
59,Saudi Arabia,5,,,,4,1.0,
60,Chile,5,+1,,,5,,
61,Poland,5,+4,,,5,,
62,Indonesia,4,+2,,,4,,
63,New Zealand,4,,,,4,,
64,Senegal,4,,,,4,,
65,Hungary,4,,,,4,,
66,North Macedonia,3,+2,,,3,,
67,Bosnia and Herzegovina,3,+1,,,3,,
68,Dominican Republic,2,+1,,,2,,
69,Luxembourg,2,,,,2,,
70,Morocco,2,,,,2,,1.0
71,Argentina,2,,,,2,,
72,Afghanistan,1,,,,1,,
73,Andorra,1,,,,1,,
74,Armenia,1,,,,1,,
75,Cambodia,1,,,,0,1.0,
76,Jordan,1,,,,1,,
77,Latvia,1,,,,0,1.0,
78,Lithuania,1,,,,1,,
79,Monaco,1,,,,1,,
80,Nepal,1,,,,0,1.0,
81,Nigeria,1,,,,1,,
82,Sri Lanka,1,,,,0,1.0,
83,Tunisia,1,,,,1,,
84,Ukraine,1,,,,1,,
85,Bhutan,1,+1,,,1,,
86,Cameroon,1,+1,,,1,,
87,Costa Rica,1,,,,1,,
88,Gibraltar,1,,,,1,,1.0
89,Vatican City,1,+1,,,1,,
90,Liechtenstein,1,,,,1,,
91,Peru,1,+1,,,1,,
92,Serbia,1,+1,,,1,,
93,Slovakia,1,+1,,,1,,
94,South Africa,1,,,,1,,
95,Togo,1,+1,,,1,,
96,Total:,101840,3566,3462.0,105.0,42270,56108.0,6398.0
