,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","7,303,178","+38,442","270,121","+1,047","4,194,917","+18,704","2,838,140","20,373",,,,,,North America,"
",,
1,,"
South America
","6,226,873","+26,779","200,692",+733,"4,821,254","+49,794","1,204,927","15,149",,,,,,South America,"
",,
2,,"
Asia
","6,991,568","+102,692","141,158","+1,524","5,598,702","+100,417","1,251,708","18,822",,,,,,Asia,"
",,
3,,"
Europe
","3,554,878","+21,661","207,384",+186,"2,065,199","+6,452","1,282,295","5,655",,,,,,Europe,"
",,
4,,"
Africa
","1,249,691","+7,779","29,621",+149,"979,229","+6,321","240,841","1,277",,,,,,Africa,"
",,
5,,"
Oceania
","28,391",+131,640,+11,"23,166",+262,"4,585",44,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"25,355,300","+197,484","849,631","+3,650","17,683,118","+181,950","6,822,551","61,324","3,253",109.0,,,,All,"
",,
8,1,USA,"6,169,860","+30,490","187,194 ",+339,"3,422,203","+13,404","2,560,463","16,009","18,622",565,"81,776,041","246,819","331,319,877 ",North America,54,"1,770",4
9,2,Brazil,"3,862,311","+15,346","120,828 ",+330,"3,031,559","+24,747","709,924","8,318","18,149",568,"14,352,484","67,444","212,805,498 ",South America,55,"1,761",15
10,3,India,"3,619,169","+79,457","64,617 ",+960,"2,772,928","+60,408","781,624","8,944","2,618",47,"41,461,636","29,997","1,382,196,924 ",Asia,382,"21,391",33
11,4,Russia,"990,326","+4,980","17,093 ",+68,"806,982","+2,599","166,251","2,300","6,786",117,"36,426,850","249,593","145,944,843 ",Europe,147,"8,538",4
12,5,Peru,"647,166","+7,731","28,788 ",+181,"455,457","+8,782","162,921","1,514","19,584",871,"3,191,850","96,590","33,045,190 ",South America,51,"1,148",10
13,6,South Africa,"625,056","+2,505","14,028 ",+47,"538,604","+1,910","72,424",539,"10,518",236,"3,674,872","61,837","59,428,553 ",Africa,95,"4,236",16
14,7,Colombia,"599,914",,"19,064 ",,"440,574",,"140,276","1,493","11,770",374,"2,685,355","52,685","50,970,324 ",South America,85,"2,674",19
15,8,Mexico,"591,712","+5,974","63,819 ",+673,"409,127","+4,460","118,766","3,334","4,582",494,"1,334,331","10,332","129,151,233 ",North America,218,"2,024",97
16,9,Spain,"455,621",,"29,011 ",,N/A,N/A,N/A,751,"9,744",620,"8,517,446","182,161","46,757,783 ",Europe,103,"1,612",5
17,10,Chile,"409,974","+1,965","11,244 ",+63,"382,584","+1,401","16,146",960,"21,417",587,"2,400,522","125,401","19,142,814 ",South America,47,"1,702",8
18,11,Argentina,"401,239",,"8,401 ",+48,"294,007","+6,787","98,831","2,192","8,865",186,"1,242,269","27,446","45,262,921 ",South America,113,"5,388",36
19,12,Iran,"373,570","+1,754","21,462 ",+103,"321,421","+1,574","30,687","3,759","4,439",255,"3,184,857","37,841","84,165,180 ",Asia,225,"3,922",26
20,13,UK,"334,467","+1,715","41,499 ",+1,N/A,N/A,N/A,60,"4,923",611,"16,273,209","239,508","67,944,393 ",Europe,203,"1,637",4
21,14,Saudi Arabia,"314,821",+910,"3,870 ",+30,"289,667","+1,226","21,284","1,545","9,021",111,"5,026,127","144,015","34,900,013 ",Asia,111,"9,018",7
22,15,Bangladesh,"310,822","+1,897","4,248 ",+42,"201,907","+3,044","104,667",,"1,884",26,"1,537,749","9,322","164,954,430 ",Asia,531,"38,831",107
23,16,Pakistan,"295,636",+264,"6,288 ",+4,"280,547",+207,"8,801",601,"1,334",28,"2,603,129","11,749","221,565,832 ",Asia,749,"35,236",85
24,17,France,"277,943","+5,413","30,606 ",+4,"86,177",,"161,160",402,"4,257",469,"6,323,472","96,841","65,297,356 ",Europe,235,"2,133",10
25,18,Turkey,"268,546","+1,482","6,326 ",+42,"243,839","+1,027","18,381",945,"3,179",75,"7,028,390","83,191","84,485,330 ",Asia,315,"13,355",12
26,19,Italy,"268,218","+1,365","35,477 ",+4,"208,536",+312,"24,205",86,"4,437",587,"8,591,341","142,130","60,447,003 ",Europe,225,"1,704",7
27,20,Germany,"243,295",+470,"9,364 ",+1,"217,484",,"16,447",245,"2,902",112,"11,208,091","133,703","83,828,051 ",Europe,345,"8,952",7
28,21,Iraq,"231,177","+3,731","6,959 ",+68,"172,880","+3,860","51,338",542,"5,727",172,"1,587,326","39,326","40,362,883 ",Asia,175,"5,800",25
29,22,Philippines,"217,396","+4,284","3,520 ",+102,"157,403","+22,319","56,473",837,"1,980",32,"2,558,157","23,295","109,814,383 ",Asia,505,"31,197",43
30,23,Indonesia,"172,053","+2,858","7,343 ",+82,"124,185","+1,383","40,525",,628,27,"2,224,337","8,118","273,990,013 ",Asia,"1,592","37,313",123
31,24,Canada,"127,940",+267,"9,117 ",+4,"113,663",+162,"5,160",50,"3,385",241,"5,402,249","142,933","37,795,794 ",North America,295,"4,146",7
32,25,Ukraine,"119,074","+2,096","2,527 ",+35,"56,734",+596,"59,813",177,"2,725",58,"1,536,171","35,161","43,689,434 ",Europe,367,"17,289",28
33,26,Qatar,"118,575",+168,197 ,+1,"115,430",+179,"2,948",66,"42,230",70,"624,609","222,455","2,807,805 ",Asia,24,"14,253",4
34,27,Bolivia,"115,354",+945,"4,938 ",+92,"56,749","+1,835","53,667",71,"9,861",422,"239,073","20,436","11,698,467 ",South America,101,"2,369",49
35,28,Israel,"114,020",+555,919 ,+13,"92,796",+692,"20,305",444,"12,397",100,"2,279,487","247,835","9,197,590 ",Asia,81,"10,008",4
36,29,Ecuador,"113,648",+742,"6,555 ",+18,"101,620","+6,191","5,473",377,"6,426",371,"328,491","18,574","17,685,670 ",South America,156,"2,698",54
37,30,Kazakhstan,"105,684",+126,"1,523 ",,"96,135",+247,"8,026",221,"5,618",81,"2,434,444","129,404","18,812,777 ",Asia,178,"12,352",8
38,31,Egypt,"98,727",+230,"5,399 ",+23,"72,120",+818,"21,208",41,962,53,"135,000","1,315","102,638,000 ",Africa,"1,040","19,011",760
39,32,Dominican Republic,"94,241",+509,"1,681 ",+8,"66,776",+456,"25,784",220,"8,673",155,"367,146","33,790","10,865,479 ",North America,115,"6,464",30
40,33,Panama,"91,337",,"1,983 ",,"65,119",,"24,235",155,"21,116",458,"326,597","75,504","4,325,553 ",North America,47,"2,181",13
41,34,Romania,"86,785",+952,"3,578 ",+39,"37,665",+277,"45,542",492,"4,516",186,"1,795,633","93,445","19,216,003 ",Europe,221,"5,371",11
42,35,Oman,"85,544",+539,677 ,+27,"80,459",+851,"4,408",156,"16,686",132,"309,212","60,315","5,126,634 ",Asia,60,"7,573",17
43,36,Kuwait,"84,636",+412,530 ,+2,"76,650",+657,"7,456",89,"19,772",124,"614,129","143,467","4,280,629 ",Asia,51,"8,077",7
44,37,Belgium,"84,599",+647,"9,891 ",+5,"18,403",+21,"56,305",72,"7,294",853,"2,261,043","194,953","11,597,901 ",Europe,137,"1,173",5
45,38,Sweden,"83,958",,"5,821 ",,N/A,N/A,N/A,21,"8,305",576,"1,094,856","108,299","10,109,546 ",Europe,120,"1,737",9
46,39,Guatemala,"73,679",,"2,728 ",,"61,163",,"9,788",5,"4,101",152,"240,745","13,399","17,967,755 ",North America,244,"6,586",75
47,40,Belarus,"71,687",+164,676 ,+5,"70,452",+245,559,,"7,587",72,"1,527,049","161,613","9,448,806 ",Europe,132,"13,978",6
