,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","7,271,832","+7,388","269,769",+695,"4,181,078","+4,865","2,820,985","20,403",,,,,,North America,"
",,
1,,"
South America
","6,201,039",+945,"200,051",+92,"4,773,295","+1,835","1,227,693","15,134",,,,,,South America,"
",,
2,,"
Asia
","6,897,161","+8,266","139,682",+47,"5,502,256","+3,954","1,255,223","18,862",,,,,,Asia,"
",,
3,,"
Europe
","3,533,876",+659,"207,202",+5,"2,058,768",+21,"1,267,906","5,618",,,,,,Europe,"
",,
4,,"
Africa
","1,241,912",,"29,472",,"972,908",,"239,532","1,264",,,,,,Africa,"
",,
5,,"
Oceania
","28,385",+125,640,+11,"22,906",+2,"4,839",44,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"25,174,926","+17,383","846,831",+850,"17,511,862","+10,677","6,816,233","61,329","3,230",108.6,,,,All,"
",,
8,1,USA,"6,139,457",+379,"186,856 ",+1,"3,408,908",+109,"2,543,693","16,025","18,530",564,"81,104,994","244,794","331,319,877 ",North America,54,"1,773",4
9,2,Brazil,"3,846,965",,"120,498 ",,"3,006,812",,"719,655","8,318","18,077",566,"14,352,484","67,444","212,805,498 ",South America,55,"1,766",15
10,3,India,"3,546,705","+6,993","63,690 ",+33,"2,714,995","+2,475","768,020","8,944","2,566",46,"41,461,636","29,997","1,382,196,924 ",Asia,390,"21,702",33
11,4,Russia,"985,346",,"17,025 ",,"804,383",,"163,938","2,300","6,751",117,"36,000,000","246,669","145,944,843 ",Europe,148,"8,572",4
12,5,Peru,"639,435",,"28,607 ",,"446,675",,"164,153","1,524","19,350",866,"3,156,679","95,526","33,045,190 ",South America,52,"1,155",10
13,6,South Africa,"622,551",,"13,981 ",,"536,694",,"71,876",539,"10,476",235,"3,652,970","61,468","59,428,553 ",Africa,95,"4,251",16
