,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,78832,335.0,2788.0,44.0,36200.0,7952.0,Asia
1,S. Korea,2022,256.0,13.0,,24.0,10.0,Asia
2,Diamond Princess,705,,4.0,,10.0,36.0,
3,Italy,655,,17.0,,45.0,56.0,Europe
4,Iran,245,,26.0,,54.0,,Asia
5,Japan,214,,4.0,,32.0,13.0,Asia
6,Singapore,96,,,,66.0,8.0,Asia
7,Hong Kong,92,,2.0,,18.0,6.0,Asia
8,USA,60,,,,6.0,,N.America
9,Germany,49,,,,16.0,2.0,Europe
10,Kuwait,43,,,,,,Asia
11,Thailand,40,,,,22.0,2.0,Asia
12,France,38,,2.0,,11.0,1.0,Europe
13,Bahrain,33,,,,,,Asia
14,Taiwan,32,,1.0,,5.0,1.0,Asia
15,Spain,25,,,,2.0,2.0,Europe
16,Australia,24,1.0,,,15.0,,Oceania
17,Malaysia,22,,,,20.0,,Asia
18,U.A.E.,19,,,,5.0,2.0,Asia
19,U.K.,16,,,,8.0,,Europe
20,Vietnam,16,,,,16.0,,Asia
21,Canada,14,,,,3.0,,N.America
22,Macao,10,,,,6.0,,Asia
23,Switzerland,8,,,,,,Europe
24,Iraq,7,,,,,,Asia
25,Sweden,7,,,,,,Europe
26,Oman,6,,,,,,Asia
27,Austria,5,,,,,,Europe
28,Norway,4,,,,,,Europe
29,Philippines,3,,1.0,,2.0,,Asia
30,Croatia,3,,,,,,Europe
31,Greece,3,,,,,,Europe
32,India,3,,,,3.0,,Asia
33,Israel,3,,,,,,Asia
34,Lebanon,3,,,,,,Asia
35,Finland,2,,,,1.0,,Europe
36,Pakistan,2,,,,,,Asia
37,Russia,2,,,,2.0,,Europe
38,Afghanistan,1,,,,,,Asia
39,Algeria,1,,,,,,Africa
40,Belarus,1,1.0,,,,,Europe
41,Belgium,1,,,,1.0,,Europe
42,Brazil,1,,,,,,South America
43,Cambodia,1,,,,1.0,,Asia
44,Denmark,1,,,,,,Europe
45,Egypt,1,,,,1.0,,Africa
46,Estonia,1,,,,,,Europe
47,Georgia,1,,,,,,Asia
48,Lithuania,1,1.0,,,,,Europe
49,North Macedonia,1,,,,,,Europe
50,Nepal,1,,,,1.0,,Asia
51,Netherlands,1,,,,,,Europe
52,New Zealand,1,1.0,,,,,Oceania
53,Nigeria,1,1.0,,,,,Africa
54,Romania,1,,,,,,Europe
55,San Marino,1,,,,,,Europe
56,Sri Lanka,1,,,,1.0,,Asia
