,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,78832,8.0,2788.0,,36456.0,7952.0,Asia
1,S. Korea,2337,571.0,16.0,3.0,24.0,7.0,Asia
2,Italy,889,234.0,21.0,4.0,46.0,64.0,Europe
3,Diamond Princess,705,,6.0,2.0,10.0,34.0,
4,Iran,388,143.0,34.0,8.0,73.0,,Asia
5,Japan,226,12.0,5.0,1.0,32.0,13.0,Asia
6,Singapore,96,,,,69.0,8.0,Asia
7,Hong Kong,93,1.0,2.0,,18.0,6.0,Asia
8,USA,62,2.0,,,6.0,1.0,N.America
9,Germany,60,11.0,,,16.0,2.0,Europe
10,France,57,19.0,2.0,,11.0,1.0,Europe
11,Kuwait,45,2.0,,,,,Asia
12,Thailand,41,1.0,,,28.0,2.0,Asia
13,Bahrain,38,5.0,,,,,Asia
14,Taiwan,34,2.0,1.0,,5.0,1.0,Asia
15,Spain,33,8.0,,,2.0,2.0,Europe
16,Malaysia,25,3.0,,,20.0,,Asia
17,Australia,24,1.0,,,15.0,,Oceania
18,U.K.,20,4.0,,,8.0,,Europe
19,U.A.E.,19,,,,5.0,2.0,Asia
20,Vietnam,16,,,,16.0,,Asia
21,Switzerland,15,7.0,,,,,Europe
22,Canada,14,,,,3.0,,N.America
23,Sweden,11,4.0,,,,,Europe
24,Macao,10,,,,6.0,,Asia
25,Iraq,8,1.0,,,,,Asia
26,Austria,6,1.0,,,,,Europe
27,Israel,6,3.0,,,1.0,,Asia
28,Norway,6,2.0,,,,,Europe
29,Oman,6,,,,,,Asia
30,Croatia,5,2.0,,,,,Europe
31,Greece,4,1.0,,,,,Europe
32,Philippines,3,,1.0,,2.0,,Asia
33,Finland,3,1.0,,,1.0,,Europe
34,India,3,,,,3.0,,Asia
35,Lebanon,3,,,,,,Asia
36,Romania,3,2.0,,,1.0,,Europe
37,Denmark,2,1.0,,,,,Europe
38,Georgia,2,1.0,,,,,Asia
39,Mexico,2,2.0,,,,,N.America
40,Netherlands,2,1.0,,,,,Europe
41,Pakistan,2,,,,,,Asia
42,Russia,2,,,,2.0,,Europe
43,Afghanistan,1,,,,,,Asia
44,Algeria,1,,,,,,Africa
45,Azerbaijan,1,1.0,,,,,Asia
46,Belarus,1,1.0,,,,,Europe
47,Belgium,1,,,,1.0,,Europe
48,Brazil,1,,,,,,South America
49,Cambodia,1,,,,1.0,,Asia
50,Egypt,1,,,,1.0,,Africa
51,Estonia,1,,,,,,Europe
52,Iceland,1,1.0,,,,,Europe
53,Lithuania,1,1.0,,,,,Europe
54,North Macedonia,1,,,,,,Europe
55,Nepal,1,,,,1.0,,Asia
56,New Zealand,1,1.0,,,,,Oceania
57,Nigeria,1,1.0,,,,,Africa
58,San Marino,1,,,,,,Europe
59,Sri Lanka,1,,,,1.0,,Asia
