,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","2,659,407","+6,586","152,556",+697,"1,187,407","+4,560","1,319,444","19,337",,,,,,North America,"
",,
1,,"
South America
","1,701,177",+977,"68,830",+18,"915,745",+668,"716,602","12,380",,,,,,South America,"
",,
2,,"
Europe
","2,291,847","+8,751","187,114",+180,"1,246,285","+11,277","858,448","6,342",,,,,,Europe,"
",,
3,,"
Asia
","1,825,435","+9,118","46,553",+190,"1,146,494","+3,342","632,388","16,221",,,,,,Asia,"
",,
4,,"
Africa
","288,812",,"7,713",,"135,176",,"145,923",499,,,,,,Africa,"
",,
5,,"
Oceania
","9,052",+29,124,,"8,470",+3,458,2,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,651,,55,4,,,,,,,"
",,
7,,World,"8,776,451","+25,461","462,905","+1,085","4,640,228","+19,850","3,673,318","54,785","1,126",59.4,,,,All,"
",,
8,1,USA,"2,297,360",+170,"121,407 ",,"956,077",+16,"1,219,876","16,533","6,942",367,"27,339,576","82,611","330,944,050 ",North America,144,"2,726",12
9,2,Brazil,"1,038,568",,"49,090 ",,"520,360",,"469,118","8,318","4,887",231,"2,409,830","11,340","212,512,836 ",South America,205,"4,329",88
10,3,Russia,"576,952","+7,889","8,002 ",+161,"334,592","+10,186","234,358","2,300","3,954",55,"16,600,000","113,751","145,932,745 ",Europe,253,"18,237",9
11,4,India,"396,182",+370,"12,970 ",,"214,209",+3,"169,003","8,944",287,9,"6,616,496","4,796","1,379,567,062 ",Asia,"3,482","106,366",209
12,5,UK,"301,815",,"42,461 ",,N/A,N/A,N/A,379,"4,447",626,"7,433,114","109,511","67,875,356 ",Europe,225,"1,599",9
13,6,Spain,"292,655",,"28,315 ",,N/A,N/A,N/A,617,"6,259",606,"4,826,516","103,232","46,754,281 ",Europe,160,"1,651",10
14,7,Peru,"247,925",,"7,660 ",,"135,520",,"104,745","1,130","7,523",232,"1,461,266","44,340","32,956,067 ",South America,133,"4,302",23
15,8,Italy,"238,011",,"34,561 ",,"181,907",,"21,543",161,"3,936",572,"4,889,103","80,859","60,464,181 ",Europe,254,"1,749",12
16,9,Chile,"231,393",,"4,093 ",,"191,491",,"35,809","1,911","12,108",214,"923,513","48,324","19,111,018 ",South America,83,"4,669",21
