,"Country, Territory",Total Cases,"Feb 9,10 Cases",Total Deaths,"Feb 9,10 Deaths",Total Recovered,Total Severe,Region
0,China,40199,"+3,001",908.0,97.0,3623.0,6484.0,Asia
1,Japan,161,+72,,,4.0,,Asia
2,Singapore,45,+5,,,7.0,7.0,Asia
3,Hong Kong,42,+16,1.0,,,,Asia
4,Thailand,32,,,,10.0,1.0,Asia
5,S. Korea,27,+3,,,3.0,,Asia
6,Taiwan,18,+1,,,1.0,,Asia
7,Malaysia,18,+2,,,3.0,,Asia
8,Australia,15,,,,5.0,,Oceania
9,Vietnam,14,+1,,,3.0,,Asia
10,Germany,14,,,,,,Europe
11,USA,12,,,,3.0,,N.America
12,France,11,,,,,1.0,Europe
13,Macao,10,,,,1.0,,Asia
14,U.K.,8,+5,,,,,Europe
15,U.A.E.,8,+1,,,1.0,,Asia
16,Canada,7,,,,,,N.America
17,Philippines,3,,1.0,,2.0,,Asia
18,India,3,,,,,,Asia
19,Italy,3,,,,,2.0,Europe
20,Russia,2,,,,,,Europe
21,Spain,2,+1,,,,,Europe
22,Finland,1,,,,1.0,,Europe
23,Nepal,1,,,,,,Asia
24,Sweden,1,,,,,,Europe
25,Sri Lanka,1,,,,1.0,,Asia
26,Cambodia,1,,,,1.0,,Asia
27,Belgium,1,,,,,,Europe
