,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,1361024,"+15,020",76201.0,"+1,547",293617.0,991206,47544.0,175.0,9.8,,
1,USA,367659,+655,10943.0,+72,19814.0,336902,8983.0,1111.0,33.0,1933423.0,5841.0
2,Spain,140510,"+3,835",13798.0,+457,43208.0,83504,7069.0,3005.0,295.0,355000.0,7593.0
3,Italy,132547,,16523.0,,22837.0,93187,3898.0,2192.0,273.0,721732.0,11937.0
4,Germany,103375,,1810.0,,36081.0,65484,4895.0,1234.0,22.0,918460.0,10962.0
5,France,98010,,8911.0,,17250.0,71849,7072.0,1502.0,137.0,224254.0,3436.0
6,Iran,62589,"+2,089",3872.0,+133,27039.0,31678,3987.0,745.0,46.0,211136.0,2514.0
7,UK,51608,,5373.0,,135.0,46100,1559.0,760.0,79.0,252958.0,3726.0
8,Turkey,30217,,649.0,,1326.0,28242,1415.0,358.0,8.0,202845.0,2405.0
9,Switzerland,22242,+585,787.0,+22,8056.0,13399,391.0,2570.0,91.0,167429.0,19346.0
10,Belgium,22194,"+1,380",2035.0,+403,4157.0,16002,1260.0,1915.0,176.0,70000.0,6040.0
11,Netherlands,19580,+777,2101.0,+234,250.0,17229,1409.0,1143.0,123.0,86589.0,5053.0
12,Canada,16667,,323.0,,3616.0,12728,426.0,442.0,9.0,330901.0,8767.0
13,Austria,12461,+164,243.0,+23,4046.0,8172,243.0,1384.0,27.0,115235.0,12795.0
14,Portugal,12442,+712,345.0,+34,184.0,11913,271.0,1220.0,34.0,110000.0,10788.0
15,Brazil,12240,+57,566.0,+2,127.0,11547,296.0,58.0,3.0,54824.0,258.0
16,S. Korea,10331,+47,192.0,+6,6694.0,3445,55.0,202.0,4.0,461233.0,8996.0
17,Israel,9006,+102,60.0,+3,683.0,8263,153.0,1040.0,7.0,109724.0,12677.0
18,Russia,7497,"+1,154",58.0,+11,494.0,6945,8.0,51.0,0.4,795000.0,5448.0
19,Sweden,7206,,477.0,,205.0,6524,590.0,714.0,47.0,54700.0,5416.0
20,Australia,5908,+13,48.0,+3,2547.0,3313,93.0,232.0,2.0,310700.0,12184.0
21,Norway,5866,+1,83.0,+7,32.0,5751,83.0,1082.0,15.0,111299.0,20530.0
22,Ireland,5364,,174.0,,25.0,5165,165.0,1086.0,35.0,30213.0,6119.0
23,Denmark,4978,+297,203.0,+16,1491.0,3284,144.0,859.0,35.0,52936.0,9139.0
24,India,4908,+130,137.0,+1,382.0,4389,,4.0,0.1,140293.0,102.0
25,Czechia,4828,+6,80.0,+2,127.0,4621,86.0,451.0,7.0,91247.0,8521.0
26,Chile,4815,,37.0,,728.0,4050,327.0,252.0,2.0,54864.0,2870.0
