,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","10,475,648","+93,900","341,516","+1,462","6,978,351","+52,094","3,155,781","19,842",,,,,,North America,"
",,
1,,"
Asia
","12,981,587","+97,753","231,693","+1,579","11,401,500","+96,594","1,348,394","21,089",,,,,,Asia,"
",,
2,,"
South America
","9,273,610","+55,341","286,042","+1,279","8,220,442","+42,047","767,126","17,856",,,,,,South America,"
",,
3,,"
Europe
","7,988,512","+231,396","247,488","+1,980","3,386,759","+40,939","4,354,265","15,446",,,,,,Europe,"
",,
4,,"
Africa
","1,706,982","+10,564","40,985",+225,"1,398,172","+7,386","267,825","2,063",,,,,,Africa,"
",,
5,,"
Oceania
","35,852",+663,959,+1,"31,230",+99,"3,663",17,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,659,,47,4,,,,,,,"
",,
7,,World,"42,462,912","+489,617","1,148,698","+6,526","31,417,113","+239,159","9,897,101","76,317","5,448",147.4,,,,All,"
",,
8,1,USA,"8,746,886","+81,143","229,284 ",+903,"5,697,736","+42,435","2,819,866","16,325","26,377",691,"131,030,575","395,133","331,611,010 ",North America,38,"1,446",3
9,2,India,"7,813,668","+54,028","117,992 ",+656,"7,013,569","+67,244","682,107","8,944","5,645",85,"100,113,085","72,324","1,384,234,140 ",Asia,177,"11,732",14
10,3,Brazil,"5,355,650","+23,016","156,528 ",+566,"4,797,872","+12,575","401,250","8,318","25,140",735,"21,900,000","102,801","213,032,208 ",South America,40,"1,361",10
11,4,Russia,"1,480,646","+17,340","25,525 ",+283,"1,119,251","+11,263","335,870","2,300","10,145",175,"56,230,544","385,262","145,954,214 ",Europe,99,"5,718",3
12,5,Spain,"1,110,372","+19,851","34,752 ",+231,N/A,N/A,N/A,"2,031","23,746",743,"15,503,165","331,544","46,760,495 ",Europe,42,"1,346",3
13,6,Argentina,"1,069,368","+15,718","28,338 ",+381,"866,695","+14,841","174,335","4,696","23,593",625,"2,777,087","61,270","45,325,182 ",South America,42,"1,599",16
14,7,France,"1,041,075","+42,032","34,508 ",+298,"109,486",+887,"897,081","2,441","15,938",528,"14,406,499","220,556","65,318,998 ",Europe,63,"1,893",5
15,8,Colombia,"998,942","+8,672","29,802 ",+166,"901,652","+7,940","67,488","2,291","19,567",584,"4,668,341","91,443","51,051,776 ",South America,51,"1,713",11
16,9,Peru,"883,116","+3,240","34,033 ",+49,"800,480","+3,761","48,603","1,080","26,669","1,028","4,343,547","131,169","33,114,228 ",South America,37,973,8
17,10,Mexico,"874,171","+6,612","87,894 ",+479,"636,391","+4,354","149,886","2,617","6,758",679,"2,249,619","17,391","129,354,669 ",North America,148,"1,472",58
18,11,UK,"830,998","+20,530","44,571 ",+224,N/A,N/A,N/A,707,"12,221",655,"31,157,988","458,220","67,997,872 ",Europe,82,"1,526",2
19,12,South Africa,"712,412","+1,897","18,891 ",+48,"643,523",+963,"49,998",546,"11,965",317,"4,657,116","78,217","59,540,914 ",Africa,84,"3,152",13
20,13,Iran,"556,891","+6,134","31,985 ",+335,"446,685","+4,011","78,221","4,933","6,604",379,"4,658,727","55,246","84,326,729 ",Asia,151,"2,636",18
21,14,Chile,"498,906","+1,775","13,844 ",+52,"471,343","+1,578","13,719",759,"26,029",722,"4,043,282","210,945","19,167,444 ",South America,38,"1,385",5
22,15,Italy,"484,869","+19,143","37,059 ",+91,"261,808","+2,352","186,002","1,049","8,023",613,"14,314,453","236,862","60,433,695 ",Europe,125,"1,631",4
23,16,Iraq,"445,949","+3,785","10,513 ",+48,"375,188","+3,362","60,248",434,"11,011",260,"2,724,328","67,269","40,498,846 ",Asia,91,"3,852",15
24,17,Germany,"417,350","+13,476","10,090 ",+46,"310,200","+4,100","97,060","1,121","4,976",120,"20,380,376","243,005","83,868,205 ",Europe,201,"8,312",4
25,18,Bangladesh,"396,413","+1,586","5,761 ",+14,"312,065","+1,533","78,587",,"2,400",35,"2,235,488","13,532","165,200,803 ",Asia,417,"28,676",74
26,19,Indonesia,"381,910","+4,369","13,077 ",+118,"305,100","+4,094","63,733",,"1,392",48,"4,253,425","15,499","274,424,390 ",Asia,719,"20,985",65
27,20,Philippines,"365,799","+1,923","6,915 ",+132,"312,691",+424,"46,193","1,562","3,324",63,"4,518,010","41,060","110,033,578 ",Asia,301,"15,912",24
28,21,Turkey,"357,693","+2,165","9,658 ",+74,"311,520","+1,493","36,515","1,648","4,227",114,"12,992,246","153,533","84,621,631 ",Asia,237,"8,762",7
29,22,Saudi Arabia,"344,157",+383,"5,264 ",+14,"330,578",+397,"8,315",796,"9,838",150,"7,615,539","217,702","34,981,543 ",Asia,102,"6,645",5
30,23,Ukraine,"330,396","+7,517","6,164 ",+121,"137,578","+2,680","186,654",177,"7,569",141,"2,950,463","67,593","43,650,159 ",Europe,132,"7,081",15
31,24,Pakistan,"326,216",+736,"6,715 ",+13,"309,646",+510,"9,855",586,"1,468",30,"4,204,320","18,920","222,211,438 ",Asia,681,"33,092",53
32,25,Israel,"308,840",+593,"2,329 ",+10,"290,130","+1,793","16,381",573,"33,578",253,"4,377,294","475,917","9,197,590 ",Asia,30,"3,949",2
33,26,Netherlands,"272,401","+9,996","6,964 ",+45,N/A,N/A,N/A,488,"15,886",406,"2,872,319","167,513","17,146,812 ",Europe,63,"2,462",6
34,27,Belgium,"270,132","+16,746","10,588 ",+49,"22,213",+496,"237,331",573,"23,276",912,"4,375,231","376,998","11,605,464 ",Europe,43,"1,096",3
35,28,Czechia,"238,323","+15,258","1,971 ",+126,"91,651","+4,426","144,701",735,"22,241",184,"1,976,869","184,491","10,715,241 ",Europe,45,"5,436",5
36,29,Poland,"228,318","+13,632","4,172 ",+153,"105,092","+2,888","119,054",851,"6,035",110,"4,221,711","111,587","37,833,502 ",Europe,166,"9,068",9
37,30,Canada,"211,732","+2,584","9,888 ",+26,"177,879","+2,074","23,965",215,"5,595",261,"9,476,989","250,413","37,845,468 ",North America,179,"3,827",4
38,31,Romania,"201,032","+5,028","6,245 ",+82,"144,429","+3,340","50,358",782,"10,472",325,"3,002,800","156,422","19,196,823 ",Europe,95,"3,074",6
39,32,Morocco,"190,416","+3,685","3,205 ",+73,"157,175","+2,694","30,036",699,"5,140",87,"3,153,471","85,122","37,046,570 ",Africa,195,"11,559",12
40,33,Ecuador,"158,270","+1,819","12,528 ",+28,"134,187",,"11,555",360,"8,929",707,"514,857","29,045","17,725,952 ",South America,112,"1,415",34
41,34,Nepal,"153,008","+4,499",829 ,+17,"105,488","+2,668","46,691",,"5,222",28,"1,367,016","46,659","29,298,314 ",Asia,191,"35,342",21
42,35,Bolivia,"140,445",+217,"8,584 ",+26,"106,950",+620,"24,911",71,"11,981",732,"325,340","27,754","11,722,399 ",South America,83,"1,366",36
43,36,Qatar,"130,711",+249,229 ,+1,"127,599",+271,"2,883",35,"46,553",82,"918,548","327,141","2,807,805 ",Asia,21,"12,261",3
44,37,Panama,"127,866",+639,"2,622 ",+10,"103,985",+587,"21,259",122,"29,491",605,"614,675","141,768","4,335,767 ",North America,34,"1,654",7
45,38,Dominican Republic,"122,873",,"2,212 ",,"100,920",,"19,741",158,"11,292",203,"554,736","50,978","10,881,814 ",North America,89,"4,919",20
46,39,UAE,"122,273","+1,563",475 ,+1,"115,068","+1,704","6,730",,"12,317",48,"12,223,225","1,231,244","9,927,540 ",Asia,81,"20,900",1
47,40,Kuwait,"120,232",+812,740 ,+10,"111,440",+726,"8,052",122,"28,025",172,"865,560","201,756","4,290,125 ",Asia,36,"5,797",5
48,41,Portugal,"112,440","+2,899","2,276 ",+31,"65,880","+1,349","44,284",198,"11,037",223,"3,156,991","309,895","10,187,285 ",Europe,91,"4,476",3
49,42,Oman,"111,837",,"1,147 ",,"97,949",,"12,741",202,"21,732",223,"376,700","73,199","5,146,213 ",Asia,46,"4,487",14
50,43,Sweden,"110,594",,"5,933 ",+7,N/A,N/A,N/A,39,"10,929",586,"2,074,744","205,035","10,118,993 ",Europe,91,"1,706",5
51,44,Kazakhstan,"110,086",+179,"1,796 ",,"105,493",+108,"2,797",221,"5,841",95,"3,309,626","175,609","18,846,520 ",Asia,171,"10,494",6
52,45,Egypt,"106,230",+170,"6,176 ",+10,"98,713",+89,"1,341",41,"1,032",60,"135,000","1,312","102,928,483 ",Africa,969,"16,666",762
53,46,Guatemala,"103,902",+730,"3,594 ",+14,"93,341",+676,"6,967",5,"5,767",199,"404,460","22,448","18,017,627 ",North America,173,"5,013",45
54,47,Switzerland,"103,653","+6,634","2,067 ",+15,"55,800",+100,"45,786",116,"11,949",238,"1,726,438","199,026","8,674,421 ",Europe,84,"4,197",5
55,48,Costa Rica,"101,826","+1,210","1,265 ",+14,"61,662",+500,"38,899",201,"19,932",248,"271,394","53,125","5,108,634 ",North America,50,"4,038",19
56,49,Japan,"95,138",+614,"1,694 ",+9,"88,245",+579,"5,199",151,753,13,"2,531,971","20,039","126,353,709 ",Asia,"1,328","74,589",50
57,50,Ethiopia,"92,229",+536,"1,400 ",+4,"46,118",+858,"44,711",315,796,12,"1,430,043","12,346","115,832,447 ",Africa,"1,256","82,737",81
58,51,Honduras,"91,509",+431,"2,604 ",+8,"37,132",+791,"51,773",27,"9,194",262,"214,418","21,542","9,953,301 ",North America,109,"3,822",46
59,52,Belarus,"91,167",+787,945 ,,"82,136",+635,"8,086",,"9,649",100,"2,320,856","245,636","9,448,341 ",Europe,104,"9,998",4
60,53,Venezuela,"88,416",,759 ,,"82,284",,"5,373",117,"3,112",27,"2,022,949","71,205","28,410,403 ",South America,321,"37,431",14
61,54,Bahrain,"79,574",+363,311 ,+3,"76,143",+303,"3,120",29,"46,282",181,"1,670,411","971,539","1,719,346 ",Asia,22,"5,528",1
62,55,Austria,"74,415","+2,571",954 ,+13,"55,195","+1,225","18,266",158,"8,248",106,"2,046,426","226,813","9,022,508 ",Europe,121,"9,458",4
63,56,Armenia,"73,310","+2,474","1,145 ",+14,"50,276",+489,"21,889",,"24,725",386,"368,053","124,133","2,964,988 ",Asia,40,"2,590",8
64,57,Moldova,"70,256",+688,"1,654 ",+13,"51,102",+680,"17,500",813,"17,429",410,"341,838","84,802","4,030,993 ",Europe,57,"2,437",12
65,58,Lebanon,"68,479","+1,452",559 ,+7,"32,412","+1,003","35,508",242,"10,047",82,"1,126,289","165,248","6,815,738 ",Asia,100,"12,193",6
66,59,Uzbekistan,"64,724",+285,542 ,+2,"61,957",+299,"2,225",252,"1,925",16,"1,377,915","40,986","33,619,442 ",Asia,519,"62,028",24
67,60,Nigeria,"61,882",+77,"1,129 ",+2,"57,190",+205,"3,563",7,298,5,"602,239","2,900","207,698,436 ",Africa,"3,356","183,967",345
68,61,Paraguay,"58,259",+733,"1,278 ",+11,"38,797",+610,"18,184",135,"8,137",178,"342,331","47,813","7,159,759 ",South America,123,"5,602",21
69,62,Singapore,"57,951",+10,28 ,,"57,832",+3,91,,"9,881",5,"3,486,260","594,446","5,864,724 ",Asia,101,"209,454",2
70,63,Algeria,"55,630",+273,"1,897 ",+9,"38,788",+170,"14,945",33,"1,262",43,,,"44,095,051 ",Africa,793,"23,245",
71,64,Ireland,"55,261",+785,"1,878 ",+7,"23,364",,"30,019",37,"11,153",379,"1,520,643","306,894","4,954,950 ",Europe,90,"2,638",3
72,65,Kyrgyzstan,"54,588",+582,"1,126 ",+4,"47,050",+324,"6,412",24,"8,325",172,"392,223","59,813","6,557,439 ",Asia,120,"5,824",17
73,66,Hungary,"54,278","+2,066","1,352 ",+47,"15,655",+401,"37,271",200,"5,623",140,"949,470","98,364","9,652,579 ",Europe,178,"7,139",10
74,67,Libya,"53,384",+764,774 ,+6,"29,619",+562,"22,991",,"7,737",112,"289,850","42,006","6,900,269 ",Africa,129,"8,915",24
75,68,Palestine,"49,579",+445,439 ,+4,"42,850",+306,"6,290",,"9,650",85,"489,417","95,260","5,137,680 ",Asia,104,"11,703",10
76,69,Jordan,"48,930","+2,489",508 ,+27,"7,449",+109,"40,973",55,"4,781",50,"1,683,236","164,464","10,234,708 ",Asia,209,"20,147",6
77,70,Azerbaijan,"48,221",+803,656 ,+8,"40,831",+212,"6,734",,"4,743",65,"1,270,144","124,919","10,167,700 ",Asia,211,"15,500",8
78,71,Kenya,"47,843",+631,884 ,+14,"33,421",+371,"13,538",20,884,16,"646,367","11,940","54,134,164 ",Africa,"1,131","61,238",84
79,72,Ghana,"47,601",+63,314 ,+2,"46,824",+35,463,9,"1,522",10,"515,890","16,497","31,271,992 ",Africa,657,"99,592",61
80,73,Tunisia,"47,214","+1,322",784 ,+44,"5,032",,"41,398",163,"3,982",66,"314,496","26,524","11,857,139 ",Africa,251,"15,124",38
81,74,Myanmar,"42,365","+1,357","1,038 ",+33,"22,445","+1,301","18,882",,777,19,"579,921","10,636","54,523,996 ",Asia,"1,287","52,528",94
82,75,Afghanistan,"40,687",+61,"1,507 ",+2,"34,010",+179,"5,170",93,"1,038",38,"119,323","3,044","39,196,742 ",Asia,963,"26,010",328
83,76,Denmark,"38,622",+859,697 ,+3,"31,295",+418,"6,630",18,"6,661",120,"4,801,009","827,958","5,798,615 ",Europe,150,"8,319",1
84,77,Bosnia and Herzegovina,"38,493","+1,179","1,065 ",+14,"26,260",+271,"11,168",,"11,756",325,"289,301","88,354","3,274,324 ",Europe,85,"3,074",11
85,78,Serbia,"38,115",+579,786 ,+3,"31,536",,"5,793",24,"4,368",90,"1,271,455","145,705","8,726,200 ",Europe,229,"11,102",7
86,79,Slovakia,"37,911","+2,581",134 ,+19,"8,859",+96,"28,918",62,"6,943",25,"664,544","121,701","5,460,477 ",Europe,144,"40,750",8
87,80,Bulgaria,"36,519","+1,589","1,077 ",+13,"18,102",+269,"17,340",127,"5,268",155,"652,508","94,133","6,931,771 ",Europe,190,"6,436",11
